player,team,goals,assists,contributions,contribution_pct,goals_pct,assists_pct,games,season
Ludovic Ajorque,Strasbourg,16,4,20,40.8,32.7,8.2,35,2021
Memphis Depay,Lyon,21,12,33,40.7,25.9,14.8,37,2021
Gaetan Laborde,Montpellier,16,8,24,40.0,26.7,13.3,38,2021
Andy Delort,Montpellier,15,9,24,40.0,25.0,15.0,30,2021
Zinedine Ferhat,Nimes,6,10,16,40.0,15.0,25.0,33,2021
Kylian Mbappe-Lottin,Paris Saint Germain,27,7,34,39.5,31.4,8.1,31,2021
Amine Gouiri,Nice,12,7,19,38.0,24.0,14.0,34,2021
Boulaye Dia,Reims,14,1,15,35.7,33.3,2.4,36,2021
Hwang Ui-Jo,Bordeaux,12,3,15,35.7,28.6,7.1,36,2021
Wissam Ben Yedder,Monaco,20,7,27,35.5,26.3,9.2,37,2021
Burak Yilmaz,Lille,16,5,21,32.8,25.0,7.8,28,2021
Terem Igobor Moffi,Lorient,14,2,16,32.0,28.0,4.0,32,2021
Farid Boulaya,Metz,6,8,14,31.8,13.6,18.2,33,2021
Dimitri Payet,Marseille,7,10,17,31.5,13.0,18.5,33,2021
Martin Terrier,Rennes,9,7,16,30.8,17.3,13.5,34,2021
Kevin Volland,Monaco,16,7,23,30.3,21.1,9.2,35,2021
Ludovic Blas,Nantes,10,4,14,29.8,21.3,8.5,36,2021
Florian Thauvin,Marseille,8,8,16,29.6,14.8,14.8,36,2021
Gaël Kakuta,Lens,11,5,16,29.1,20.0,9.1,35,2021
Yoane Wissa,Lorient,10,4,14,28.0,20.0,8.0,38,2021
Mama Baldé,Dijon,7,0,7,28.0,28.0,0.0,29,2021
Randal Kolo Muani,Nantes,9,4,13,27.7,19.1,8.5,37,2021
Renaud Ripart,Nimes,11,0,11,27.5,27.5,0.0,38,2021
Denis Bouanga,Saint-Etienne,7,4,11,26.2,16.7,9.5,36,2021
Steve Mounie,Brest,9,4,13,26.0,18.0,8.0,35,2021
Angelo Fulgini,Angers,7,3,10,25.0,17.5,7.5,33,2021
Karl Toko Ekambi,Lyon,14,6,20,24.7,17.3,7.4,35,2021
Franck Honorat,Brest,8,4,12,24.0,16.0,8.0,36,2021
Moussa Konate,Dijon,5,1,6,24.0,20.0,4.0,27,2021
Jonathan Christian David,Lille,13,2,15,23.4,20.3,3.1,37,2021
Jonathan Bamba,Lille,6,9,15,23.4,9.4,14.1,38,2021
Moses Simon,Nantes,6,5,11,23.4,12.8,10.6,33,2021
Moussa Koné,Nimes,9,0,9,22.5,22.5,0.0,33,2021
Romain Faivre,Brest,6,5,11,22.0,12.0,10.0,36,2021
