Rank,Team,Elo,Matches
1,Paris SG,1844.53,194
2,Marseille,1673.54,194
3,Lille,1639.44,194
4,Lens,1638.12,194
5,Lyon,1627.73,194
6,Monaco,1626.15,194
7,Nice,1617.92,194
8,Strasbourg,1612.97,194
9,Rennes,1558.69,194
10,Toulouse,1536.73,118
11,Brest,1523.19,194
12,Paris FC,1492.55,12
13,Le Havre,1443.46,80
14,Auxerre,1440.14,84
15,Nantes,1433.01,194
16,Lorient,1430.48,160
17,Angers,1416.74,160
18,Metz,1405.78,122
