player,team,goals,assists,contributions,contribution_pct,goals_pct,assists_pct,games,season
Moses Simon,Nantes,8,10,18,46.2,20.5,25.6,32,2425
Gaetan Perrin,Auxerre,10,11,21,43.8,20.8,22.9,34,2425
Zuriko Davitashvili,Saint-Etienne,9,8,17,43.6,23.1,20.5,33,2425
Lucas Stassin,Saint-Etienne,12,4,16,41.0,30.8,10.3,28,2425
Jonathan Christian David,Lille,16,5,21,40.4,30.8,9.6,32,2425
Keito Nakamura,Reims,11,2,13,39.4,33.3,6.1,32,2425
Arnaud Kalimuendo Muinga,Rennes,17,3,20,39.2,33.3,5.9,33,2425
Mason Greenwood,Marseille,22,5,27,36.5,29.7,6.8,34,2425
Ousmane Dembélé,Paris Saint Germain,21,7,28,30.4,22.8,7.6,29,2425
Emanuel Emegha,Strasbourg,14,3,17,30.4,25.0,5.4,27,2425
Téji Savanier,Montpellier,2,5,7,30.4,8.7,21.7,31,2425
Evann Guessand,Nice,12,8,20,30.3,18.2,12.1,33,2425
Mathis Cherki,Lyon,8,11,19,29.2,12.3,16.9,30,2425
Ludovic Ajorque,Brest,13,2,15,28.8,25.0,3.8,31,2425
Matthis Abline,Nantes,9,2,11,28.2,23.1,5.1,34,2425
Esteban Lepaul,Angers,9,0,9,28.1,28.1,0.0,28,2425
Abdoulaye Touré,Le Havre,10,1,11,27.5,25.0,2.5,28,2425
Ludovic Blas,Rennes,6,8,14,27.5,11.8,15.7,29,2425
Lassine Sinayoko,Auxerre,5,8,13,27.1,10.4,16.7,34,2425
Alexandre Lacazette,Lyon,15,2,17,26.2,23.1,3.1,30,2425
Georges Mikautadze,Lyon,11,6,17,26.2,16.9,9.2,34,2425
Bradley Barcola,Paris Saint Germain,14,10,24,26.1,15.2,10.9,34,2425
Hamed Junior Traore,Auxerre,10,2,12,25.0,20.8,4.2,26,2425
Dilane Bakwa,Strasbourg,6,8,14,25.0,10.7,14.3,30,2425
Mika Biereth,Monaco,13,2,15,23.8,20.6,3.2,16,2425
Maghnes Akliouche,Monaco,5,10,15,23.8,7.9,15.9,32,2425
Adrien Thomasson,Lens,3,7,10,23.8,7.1,16.7,33,2425
Andrey Santos,Strasbourg,10,3,13,23.2,17.9,5.4,32,2425
Gaetan Laborde,Nice,11,4,15,22.7,16.7,6.1,28,2425
Issa Soumaré,Le Havre,5,4,9,22.5,12.5,10.0,29,2425
Himad Abdelli,Angers,6,1,7,21.9,18.8,3.1,32,2425
Arnaud Nordin,Montpellier,4,1,5,21.7,17.4,4.3,16,2425
Neil El Aynaoui,Lens,8,1,9,21.4,19.0,2.4,24,2425
Junya Ito,Reims,4,3,7,21.2,12.1,9.1,33,2425
Zakaria Aboukhlal,Toulouse,7,2,9,20.5,15.9,4.5,26,2425
Joshua King,Toulouse,6,3,9,20.5,13.6,6.8,28,2425
Irvin Cardona,Saint-Etienne,5,3,8,20.5,12.8,7.7,15,2425
Yann Gboho,Toulouse,5,4,9,20.5,11.4,9.1,31,2425
Josué Casimir,Le Havre,4,4,8,20.0,10.0,10.0,27,2425
Romain Del Castillo,Brest,6,4,10,19.2,11.5,7.7,26,2425
Adrien Rabiot,Marseille,9,5,14,18.9,12.2,6.8,29,2425
Luis Henrique,Marseille,7,7,14,18.9,9.5,9.5,33,2425
Marshall Munetsi,Reims,4,2,6,18.2,12.1,6.1,19,2425
Sebastian Nanasi,Strasbourg,6,4,10,17.9,10.7,7.1,31,2425
Akor Adams,Montpellier,3,1,4,17.4,13.0,4.3,15,2425
Pereira Lage,Brest,2,7,9,17.3,3.8,13.5,29,2425
Corentin Tolisso,Lyon,7,4,11,16.9,10.8,6.2,32,2425
M'Bala Nzola,Lens,6,1,7,16.7,14.3,2.4,21,2425
Jonathan Clauss,Nice,3,8,11,16.7,4.5,12.1,28,2425
Habib Diarra,Strasbourg,4,5,9,16.1,7.1,8.9,30,2425
Diego Moreira,Strasbourg,2,7,9,16.1,3.6,12.5,32,2425
Breel Embolo,Monaco,6,4,10,15.9,9.5,6.3,29,2425
Denis Zakaria,Monaco,6,4,10,15.9,9.5,6.3,26,2425
Farid El Melali,Angers,2,3,5,15.6,6.2,9.4,32,2425
Abdallah Sima,Brest,6,2,8,15.4,11.5,3.8,27,2425
Mahdi Camara,Brest,5,3,8,15.4,9.6,5.8,34,2425
Hákon Haraldsson,Lille,5,3,8,15.4,9.6,5.8,25,2425
Douglas Augusto,Nantes,4,2,6,15.4,10.3,5.1,28,2425
Florian Tardieu,Saint-Etienne,2,4,6,15.4,5.1,10.3,24,2425
Sofiane Diop,Nice,6,4,10,15.2,9.1,6.1,28,2425
Oumar Diakité,Reims,4,1,5,15.2,12.1,3.0,26,2425
Sergio Akieme,Reims,2,3,5,15.2,6.1,9.1,30,2425
Takumi Minamino,Monaco,6,3,9,14.3,9.5,4.8,31,2425
Ben Seghir,Monaco,6,3,9,14.3,9.5,4.8,33,2425
Przemyslaw Frankowski,Lens,4,2,6,14.3,9.5,4.8,18,2425
Lamine Camara,Monaco,2,7,9,14.3,3.2,11.1,29,2425
Gonçalo Ramos,Paris Saint Germain,10,3,13,14.1,10.9,3.3,22,2425
Malick Fofana,Lyon,5,4,9,13.8,7.7,6.2,29,2425
Lorenz Assignon,Rennes,3,4,7,13.7,5.9,7.8,32,2425
Vincent Sierro,Toulouse,5,1,6,13.6,11.4,2.3,29,2425
Frank Magri,Toulouse,5,1,6,13.6,11.4,2.3,31,2425
Shavy Babicka,Toulouse,4,2,6,13.6,9.1,4.5,30,2425
Gabriel Suazo,Toulouse,0,6,6,13.6,0.0,13.6,30,2425
Lee Kang-In,Paris Saint Germain,6,6,12,13.0,6.5,6.5,30,2425
Désiré Doué,Paris Saint Germain,6,6,12,13.0,6.5,6.5,31,2425
Tanguy Coulibaly,Montpellier,3,0,3,13.0,13.0,0.0,25,2425
Mostafa Mohamed,Nantes,5,0,5,12.8,12.8,0.0,30,2425
Jubal,Auxerre,6,0,6,12.5,12.5,0.0,30,2425
André Ayew,Le Havre,4,1,5,12.5,10.0,2.5,27,2425
Felix Lemarechal,Strasbourg,4,3,7,12.5,7.1,5.4,27,2425
Ibrahima Niane,Angers,3,1,4,12.5,9.4,3.1,24,2425
Jim Allevinah,Angers,1,3,4,12.5,3.1,9.4,28,2425
João Neves,Paris Saint Germain,3,8,11,12.0,3.3,8.7,29,2425
Deiver Machado,Lens,1,4,5,11.9,2.4,9.5,27,2425
Matias Fernandez-Pardo,Lille,4,2,6,11.5,7.7,3.8,22,2425
Osame Sahraoui,Lille,3,3,6,11.5,5.8,5.8,30,2425
Aron Dønnum,Toulouse,3,2,5,11.4,6.8,4.5,32,2425
Achraf Hakimi,Paris Saint Germain,4,6,10,10.9,4.3,6.5,25,2425
Neal Maupay,Marseille,4,4,8,10.8,5.4,5.4,22,2425
Ali Abdi,Nice,5,2,7,10.6,7.6,3.0,25,2425
Mohamed Ali-Cho,Nice,3,4,7,10.6,4.5,6.1,27,2425
Ado Onaiwu,Auxerre,4,1,5,10.4,8.3,2.1,31,2425
Sinaly Diomande,Auxerre,3,2,5,10.4,6.2,4.2,23,2425
Ibrahim Sissoko,Saint-Etienne,3,1,4,10.3,7.7,2.6,20,2425
Sorba Thomas,Nantes,1,3,4,10.3,2.6,7.7,25,2425
Koka,Le Havre,3,1,4,10.0,7.5,2.5,16,2425
Fabián,Paris Saint Germain,4,5,9,9.8,4.3,5.4,30,2425
Bafode Diakite,Lille,4,1,5,9.6,7.7,1.9,31,2425
Edon Zhegrova,Lille,4,1,5,9.6,7.7,1.9,12,2425
Kenny Lala,Brest,3,2,5,9.6,5.8,3.8,30,2425
Romain Faivre,Brest,3,2,5,9.6,5.8,3.8,20,2425
Mitchel Bakker,Lille,3,2,5,9.6,5.8,3.8,24,2425
