player,team,goals,assists,contributions,contribution_pct,goals_pct,assists_pct,games,season
Kylian Mbappe-Lottin,Paris Saint Germain,29,17,46,51.1,32.2,18.9,35,2122
Mohamed Bayo,Clermont Foot,14,5,19,50.0,36.8,13.2,32,2122
Wissam Ben Yedder,Monaco,25,5,30,46.2,38.5,7.7,37,2122
Moussa Dembele,Lyon,21,4,25,37.9,31.8,6.1,30,2122
Dimitri Payet,Marseille,12,11,23,36.5,19.0,17.5,31,2122
Amine Gouiri,Nice,10,9,19,36.5,19.2,17.3,38,2122
Denis Bouanga,Saint-Etienne,9,6,15,35.7,21.4,14.3,34,2122
Terem Igobor Moffi,Lorient,8,4,12,34.3,22.9,11.4,37,2122
Ludovic Ajorque,Strasbourg,12,8,20,33.3,20.0,13.3,36,2122
Jonathan Christian David,Lille,15,0,15,31.2,31.2,0.0,38,2122
Franck Honorat,Brest,11,4,15,30.6,22.4,8.2,34,2122
Téji Savanier,Montpellier,8,7,15,30.6,16.3,14.3,29,2122
Hugo Ekitike,Reims,10,3,13,30.2,23.3,7.0,24,2122
Martin Terrier,Rennes,21,3,24,29.3,25.6,3.7,37,2122
Randal Kolo Muani,Nantes,12,4,16,29.1,21.8,7.3,36,2122
Elbasan Rashani,Clermont Foot,8,3,11,28.9,21.1,7.9,29,2122
Benjamin Bourigeaud,Rennes,11,12,23,28.0,13.4,14.6,38,2122
Kevin Volland,Monaco,9,9,18,27.7,13.8,13.8,34,2122
Ludovic Blas,Nantes,10,5,15,27.3,18.2,9.1,35,2122
Sofiane Boufal,Angers,8,4,12,27.3,18.2,9.1,29,2122
Karl Toko Ekambi,Lyon,12,5,17,25.8,18.2,7.6,30,2122
Jonathan Clauss,Lens,5,11,16,25.8,8.1,17.7,37,2122
Moses Simon,Nantes,6,8,14,25.5,10.9,14.5,30,2122
Hwang Ui-Jo,Bordeaux,11,2,13,25.0,21.2,3.8,32,2122
Wahbi Khazri,Saint-Etienne,10,0,10,23.8,23.8,0.0,30,2122
Kevin Gameiro,Strasbourg,11,3,14,23.3,18.3,5.0,35,2122
Armand Lauriente,Lorient,6,2,8,22.9,17.1,5.7,35,2122
Lucas Paquetá,Lyon,9,6,15,22.7,13.6,9.1,35,2122
Sepe Elye Wahi,Montpellier,10,1,11,22.4,20.4,2.0,33,2122
Steve Mounie,Brest,9,2,11,22.4,18.4,4.1,35,2122
Stephy Mavididi,Montpellier,8,3,11,22.4,16.3,6.1,30,2122
Neymar,Paris Saint Germain,13,6,19,21.1,14.4,6.7,22,2122
Lionel Messi,Paris Saint Germain,6,13,19,21.1,6.7,14.4,26,2122
Gerson,Marseille,9,4,13,20.6,14.3,6.3,35,2122
Thomas Mangani,Angers,7,2,9,20.5,15.9,4.5,33,2122
Angelo Fulgini,Angers,5,4,9,20.5,11.4,9.1,36,2122
Habib Diallo,Strasbourg,11,1,12,20.0,18.3,1.7,31,2122
Adrien Thomasson,Strasbourg,8,4,12,20.0,13.3,6.7,31,2122
Nicolas de Preville,Metz,5,2,7,20.0,14.3,5.7,27,2122
Alberth Elis,Bordeaux,9,1,10,19.2,17.3,1.9,20,2122
Cengiz Ünder,Marseille,10,2,12,19.0,15.9,3.2,32,2122
Arnaud Nordin,Saint-Etienne,4,4,8,19.0,9.5,9.5,36,2122
