player,team,goals,assists,contributions,contribution_pct,goals_pct,assists_pct,games,season
Folarin Balogun,Reims,21,2,23,51.1,46.7,4.4,37,2223
Alexandre Lacazette,Lyon,27,5,32,49.2,41.5,7.7,35,2223
Jonathan Christian David,Lille,24,4,28,43.1,36.9,6.2,37,2223
Habib Diallo,Strasbourg,20,1,21,41.2,39.2,2.0,37,2223
Kylian Mbappe-Lottin,Paris Saint Germain,29,5,34,38.2,32.6,5.6,34,2223
Wissam Ben Yedder,Monaco,19,7,26,37.1,27.1,10.0,32,2223
Sepe Elye Wahi,Montpellier,19,5,24,36.9,29.2,7.7,33,2223
Loïs Openda,Lens,21,4,25,36.8,30.9,5.9,38,2223
Lionel Messi,Paris Saint Germain,16,16,32,36.0,18.0,18.0,32,2223
Mama Baldé,Troyes,12,3,15,33.3,26.7,6.7,34,2223
Ludovic Blas,Nantes,7,5,12,32.4,18.9,13.5,37,2223
Jeremy Le Douaron,Brest,10,3,13,29.5,22.7,6.8,32,2223
Zakaria Aboukhlal,Toulouse,10,5,15,29.4,19.6,9.8,37,2223
Grejohn Kyei,Clermont Foot,10,3,13,28.9,22.2,6.7,37,2223
Romain Del Castillo,Brest,6,6,12,27.3,13.6,13.6,27,2223
Neymar,Paris Saint Germain,13,11,24,27.0,14.6,12.4,20,2223
Mostafa Mohamed,Nantes,8,2,10,27.0,21.6,5.4,36,2223
Rony Lopes,Troyes,7,5,12,26.7,15.6,11.1,32,2223
Rémy Cabella,Lille,7,10,17,26.2,10.8,15.4,32,2223
Mounaim El Idrissy,Ajaccio,6,0,6,26.1,26.1,0.0,32,2223
Joia Nuno Da Costa,Auxerre,5,4,9,25.7,14.3,11.4,33,2223
Thijs Dallinga,Toulouse,12,1,13,25.5,23.5,2.0,36,2223
Branco van den Boomen,Toulouse,5,8,13,25.5,9.8,15.7,35,2223
Alexis Sánchez,Marseille,14,3,17,25.4,20.9,4.5,35,2223
Franck Honorat,Brest,6,5,11,25.0,13.6,11.4,33,2223
Téji Savanier,Montpellier,12,4,16,24.6,18.5,6.2,30,2223
Benjamin Bourigeaud,Rennes,7,10,17,24.6,10.1,14.5,37,2223
Muhammed-Cham Saracevic,Clermont Foot,7,4,11,24.4,15.6,8.9,38,2223
Junya Ito,Reims,6,5,11,24.4,13.3,11.1,35,2223
Moses Simon,Nantes,5,4,9,24.3,13.5,10.8,34,2223
Nabil Bentaleb,Angers,4,4,8,24.2,12.1,12.1,30,2223
Florian Sotoca,Lens,7,9,16,23.5,10.3,13.2,38,2223
Pierre Lees-Melou,Brest,5,5,10,22.7,11.4,11.4,32,2223
Saif-Eddine Khaoui,Clermont Foot,7,3,10,22.2,15.6,6.7,34,2223
Marshall Munetsi,Reims,7,3,10,22.2,15.6,6.7,34,2223
Alexis Flips,Reims,4,6,10,22.2,8.9,13.3,33,2223
Aleksandr Golovin,Monaco,8,7,15,21.4,11.4,10.0,34,2223
Dango Ouattara,Lorient,6,5,11,21.2,11.5,9.6,18,2223
Enzo Le Fée,Lorient,5,6,11,21.2,9.6,11.5,35,2223
Sofiane Boufal,Angers,4,3,7,21.2,12.1,9.1,13,2223
Breel Embolo,Monaco,12,2,14,20.0,17.1,2.9,32,2223
Jonathan Bamba,Lille,6,7,13,20.0,9.2,10.8,34,2223
Bradley Barcola,Lyon,5,8,13,20.0,7.7,12.3,26,2223
Kevin Gameiro,Strasbourg,10,0,10,19.6,19.6,0.0,34,2223
Farès Chaïbi,Toulouse,5,5,10,19.6,9.8,9.8,36,2223
Martin Terrier,Rennes,9,4,13,18.8,13.0,5.8,16,2223
Arnaud Nordin,Montpellier,9,3,12,18.5,13.8,4.6,36,2223
Abdallah Sima,Angers,5,1,6,18.2,15.2,3.0,34,2223
Seko Fofana,Lens,7,5,12,17.6,10.3,7.4,35,2223
Rafael Ratão,Toulouse,5,4,9,17.6,9.8,7.8,30,2223
Romain Hamouma,Ajaccio,2,2,4,17.4,8.7,8.7,19,2223
M'Baye Niang,Auxerre,6,0,6,17.1,17.1,0.0,30,2223
Maxence Caqueret,Lyon,4,7,11,16.9,6.2,10.8,36,2223
Jonathan Clauss,Marseille,2,9,11,16.4,3.0,13.4,34,2223
Jean-Ricner Bellegarde,Strasbourg,2,6,8,15.7,3.9,11.8,30,2223
Johan Gastien,Clermont Foot,4,3,7,15.6,8.9,6.7,31,2223
Komnen Andric,Clermont Foot,4,3,7,15.6,8.9,6.7,34,2223
Ibrahima Koné,Lorient,7,1,8,15.4,13.5,1.9,37,2223
Faitout Maouassa,Montpellier,5,5,10,15.4,7.7,7.7,33,2223
Mathis Cherki,Lyon,4,6,10,15.4,6.2,9.2,34,2223
Adrien Hunou,Angers,4,1,5,15.2,12.1,3.0,34,2223
Arnaud Kalimuendo Muinga,Rennes,7,3,10,14.5,10.1,4.3,30,2223
Caio Henrique,Monaco,1,9,10,14.3,1.4,12.9,35,2223
Steve Mounie,Brest,6,0,6,13.6,13.6,0.0,23,2223
Evann Guessand,Nantes,3,2,5,13.5,8.1,5.4,30,2223
Cengiz Ünder,Marseille,5,4,9,13.4,7.5,6.0,37,2223
Xavier Chavalerin,Troyes,4,2,6,13.3,8.9,4.4,34,2223
Wilson Odobert,Troyes,4,2,6,13.3,8.9,4.4,32,2223
Elbasan Rashani,Clermont Foot,3,3,6,13.3,6.7,6.7,32,2223
Nicolas Pepe,Nice,6,0,6,12.5,12.5,0.0,19,2223
Ross Barkley,Nice,4,2,6,12.5,8.3,4.2,27,2223
Kephren Thuram,Nice,2,4,6,12.5,4.2,8.3,35,2223
Tetê,Lyon,6,2,8,12.3,9.2,3.1,17,2223
Angel Gomes,Lille,2,6,8,12.3,3.1,9.2,36,2223
Amine Salama,Angers,3,1,4,12.1,9.1,3.0,25,2223
Himad Abdelli,Angers,2,2,4,12.1,6.1,6.1,30,2223
Przemyslaw Frankowski,Lens,5,3,8,11.8,7.4,4.4,37,2223
Jéremy Doku,Rennes,6,2,8,11.6,8.7,2.9,29,2223
Gaetan Perrin,Auxerre,3,1,4,11.4,8.6,2.9,37,2223
Jubal,Auxerre,3,1,4,11.4,8.6,2.9,37,2223
Mathias Autret,Auxerre,2,2,4,11.4,5.7,5.7,23,2223
Renaud Ripart,Troyes,4,1,5,11.1,8.9,2.2,26,2223
Edon Zhegrova,Lille,3,4,7,10.8,4.6,6.2,22,2223
Dimitri Payet,Marseille,4,3,7,10.4,6.0,4.5,24,2223
Jordan Veretout,Marseille,4,3,7,10.4,6.0,4.5,38,2223
Billal Brahimi,Nice,3,2,5,10.4,6.2,4.2,26,2223
Deiver Machado,Lens,4,3,7,10.3,5.9,4.4,33,2223
Lovro Majer,Rennes,2,5,7,10.1,2.9,7.2,32,2223
Brecht Dejaegere,Toulouse,4,1,5,9.8,7.8,2.0,30,2223
Habib Diarra,Strasbourg,3,2,5,9.8,5.9,3.9,29,2223
Julien Ponceau,Lorient,1,4,5,9.6,1.9,7.7,31,2223
Stephy Mavididi,Montpellier,4,2,6,9.2,6.2,3.1,26,2223
Joris Chotard,Montpellier,0,6,6,9.2,0.0,9.2,35,2223
Sada Thioub,Angers,1,2,3,9.1,3.0,6.1,27,2223
Pierrick Capelle,Angers,0,3,3,9.1,0.0,9.1,26,2223
Nuno Tavares,Marseille,6,0,6,9.0,9.0,0.0,31,2223
Achraf Hakimi,Paris Saint Germain,5,3,8,9.0,5.6,3.4,28,2223
Matteo Guendouzi,Marseille,2,4,6,9.0,3.0,6.0,33,2223
Jens Cajuste,Reims,3,1,4,8.9,6.7,2.2,31,2223
Neto Borges,Clermont Foot,3,1,4,8.9,6.7,2.2,33,2223
Kamory Doumbia,Reims,2,2,4,8.9,4.4,4.4,26,2223
Facundo Medina,Lens,2,4,6,8.8,2.9,5.9,32,2223
Thomas Mangani,Ajaccio,1,1,2,8.7,4.3,4.3,26,2223
Cyrille Bayala,Ajaccio,1,1,2,8.7,4.3,4.3,33,2223
Riad Nouri,Ajaccio,1,1,2,8.7,4.3,4.3,33,2223
Michael Barreto,Ajaccio,1,1,2,8.7,4.3,4.3,20,2223
Vincent Marchetti,Ajaccio,0,2,2,8.7,0.0,8.7,31,2223
Adrien Truffert,Rennes,0,6,6,8.7,0.0,8.7,28,2223
Krépin Diatta,Monaco,4,2,6,8.6,5.7,2.9,31,2223
Axel Disasi,Monaco,3,3,6,8.6,4.3,4.3,38,2223
Rayan Raveloson,Auxerre,2,1,3,8.6,5.7,2.9,34,2223
Hamza Sakhi,Auxerre,1,2,3,8.6,2.9,5.7,27,2223
Lassine Sinayoko,Auxerre,1,2,3,8.6,2.9,5.7,33,2223
Badredine Bouanani,Nice,0,4,4,8.3,0.0,8.3,19,2223
Florent Mollet,Nantes,1,2,3,8.1,2.7,5.4,19,2223
Quentin Merlin,Nantes,1,2,3,8.1,2.7,5.4,24,2223
Hugo Ekitike,Paris Saint Germain,3,4,7,7.9,3.4,4.5,25,2223
Nuno Mendes,Paris Saint Germain,1,6,7,7.9,1.1,6.7,23,2223
Jean Eudes Aholou,Strasbourg,3,1,4,7.8,5.9,2.0,30,2223
Wahbi Khazri,Montpellier,4,1,5,7.7,6.2,1.5,27,2223
Mohamed Bayo,Lille,4,1,5,7.7,6.2,1.5,27,2223
André Gomes,Lille,3,2,5,7.7,4.6,3.1,26,2223
Théo Le Bris,Lorient,2,2,4,7.7,3.8,3.8,27,2223
Gédéon Kalulu,Lorient,0,4,4,7.7,0.0,7.7,29,2223
Chancel Mbemba,Marseille,5,0,5,7.5,7.5,0.0,36,2223
Sead Kolasinac,Marseille,4,1,5,7.5,6.0,1.5,33,2223
Wesley Said,Lens,5,0,5,7.4,7.4,0.0,21,2223
Hamari Traore,Rennes,1,4,5,7.2,1.4,5.8,31,2223
Ben Seghir,Monaco,4,1,5,7.1,5.7,1.4,19,2223
Kevin Volland,Monaco,3,2,5,7.1,4.3,2.9,17,2223
Vanderson,Monaco,1,4,5,7.1,1.4,5.7,31,2223
Pereira Lage,Brest,2,1,3,6.8,4.5,2.3,24,2223
Hugo Magnetti,Brest,1,2,3,6.8,2.3,4.5,32,2223
Florian Tardieu,Troyes,3,0,3,6.7,6.7,0.0,15,2223
Iké Ugbo,Troyes,2,1,3,6.7,4.4,2.2,25,2223
Yunis Abdelhamid,Reims,1,2,3,6.7,2.2,4.4,37,2223
Abdu Conté,Troyes,1,2,3,6.7,2.2,4.4,19,2223
Emmanuel Agbadou,Reims,0,3,3,6.7,0.0,6.7,29,2223
Dante,Nice,1,2,3,6.2,2.1,4.2,37,2223
Hichem Boudaoui,Nice,1,2,3,6.2,2.1,4.2,27,2223
Falaye Sacko,Montpellier,1,3,4,6.2,1.5,4.6,35,2223
Nicolás Tagliafico,Lyon,1,3,4,6.2,1.5,4.6,34,2223
Lois Diony,Angers,2,0,2,6.1,6.1,0.0,11,2223
Ibrahima Niane,Angers,2,0,2,6.1,6.1,0.0,16,2223
Halid Sabanovic,Angers,2,0,2,6.1,6.1,0.0,15,2223
Miha Blazic,Angers,2,0,2,6.1,6.1,0.0,24,2223
Luis Suárez,Marseille,3,1,4,6.0,4.5,1.5,7,2223
Samuel Gigot,Marseille,2,2,4,6.0,3.0,3.0,26,2223
