Rank,Team,Elo,Matches
1,Bayern Munich,1843.17,180
2,Leverkusen,1737.35,180
3,Dortmund,1681.94,180
4,RB Leipzig,1642.42,180
5,Ein Frankfurt,1618.78,180
6,Stuttgart,1609.69,180
7,Werder Bremen,1541.5,146
8,Freiburg,1533.85,180
9,Hoffenheim,1523.21,180
10,Mainz,1510.12,180
11,M'gladbach,1468.34,180
12,Union Berlin,1466.64,180
13,Wolfsburg,1457.94,180
14,Hamburg,1452.6,10
15,FC Koln,1446.13,146
16,Augsburg,1437.01,180
17,St Pauli,1404.1,44
18,Heidenheim,1387.21,78
