player,team,goals,assists,contributions,contribution_pct,goals_pct,assists_pct,games
Kristijan Jakic,Augsburg,1,1,2,14.3,7.1,7.1,8
Robin Fellhauer,Augsburg,1,1,2,14.3,7.1,7.1,10
Justin Njinmah,Werder Bremen,2,0,2,13.3,13.3,0.0,10
Victor Boniface,Werder Bremen,0,2,2,13.3,0.0,13.3,8
Jean Négoce,Eintracht Frankfurt,2,1,3,13.0,8.7,4.3,9
Nathaniel Brown,Eintracht Frankfurt,1,2,3,13.0,4.3,8.7,10
Felix Nmecha,Borussia Dortmund,1,1,2,12.5,6.2,6.2,10
Yan Couto,Borussia Dortmund,1,1,2,12.5,6.2,6.2,6
Léo Scienza,FC Heidenheim,1,0,1,12.5,12.5,0.0,2
Budu Zivzivadze,FC Heidenheim,1,0,1,12.5,12.5,0.0,7
Adam Kölle,FC Heidenheim,1,0,1,12.5,12.5,0.0,5
Marnon Busch,FC Heidenheim,0,1,1,12.5,0.0,12.5,10
Arijon Ibrahimovic,FC Heidenheim,0,1,1,12.5,0.0,12.5,10
Patrick Mainka,FC Heidenheim,0,1,1,12.5,0.0,12.5,10
Omar Traoré,FC Heidenheim,0,1,1,12.5,0.0,12.5,10
Chris Führich,VfB Stuttgart,1,1,2,11.8,5.9,5.9,9
Joshua Vagnoman,VfB Stuttgart,1,1,2,11.8,5.9,5.9,8
Eric Martel,FC Cologne,0,2,2,11.8,0.0,11.8,10
Konrad Laimer,Bayern Munich,1,3,4,11.4,2.9,8.6,10
Hauke Wahl,St. Pauli,1,0,1,11.1,11.1,0.0,9
Eric Smith,St. Pauli,1,0,1,11.1,11.1,0.0,10
Adam Dzwigala,St. Pauli,1,0,1,11.1,11.1,0.0,6
Luka Vuskovic,Hamburger SV,1,0,1,11.1,11.1,0.0,8
Louis Oppie,St. Pauli,1,0,1,11.1,11.1,0.0,10
Ransford Königsdörffer,Hamburger SV,1,0,1,11.1,11.1,0.0,10
Pereira Lage,St. Pauli,0,1,1,11.1,0.0,11.1,10
Fábio Vieira,Hamburger SV,0,1,1,11.1,0.0,11.1,5
Nicolai Remberg,Hamburger SV,0,1,1,11.1,0.0,11.1,10
Connor Metcalfe,St. Pauli,0,1,1,11.1,0.0,11.1,10
Manolis Saliakas,St. Pauli,0,1,1,11.1,0.0,11.1,8
Joel Chima Fujita,St. Pauli,0,1,1,11.1,0.0,11.1,10
Nicolás Capaldo,Hamburger SV,0,1,1,11.1,0.0,11.1,8
Johan Bakayoko,RasenBallsport Leipzig,2,0,2,10.0,10.0,0.0,9
Dominik Kohr,Mainz 05,1,0,1,10.0,10.0,0.0,9
Silvan Widmer,Mainz 05,1,0,1,10.0,10.0,0.0,7
Paul Nebel,Mainz 05,1,0,1,10.0,10.0,0.0,8
David Raum,RasenBallsport Leipzig,1,1,2,10.0,5.0,5.0,10
Jae-Sung Lee,Mainz 05,1,0,1,10.0,10.0,0.0,8
Antonio Nusa,RasenBallsport Leipzig,1,1,2,10.0,5.0,5.0,9
Andreas Hanche-Olsen,Mainz 05,0,1,1,10.0,0.0,10.0,9
Benedict Hollerbach,Mainz 05,0,1,1,10.0,0.0,10.0,6
Robin Koch,Eintracht Frankfurt,2,0,2,8.7,8.7,0.0,10
Ansgar Knauff,Eintracht Frankfurt,2,0,2,8.7,8.7,0.0,10
Hugo Larsson,Eintracht Frankfurt,0,2,2,8.7,0.0,8.7,8
Joshua Kimmich,Bayern Munich,1,2,3,8.6,2.9,5.7,10
Raphael Guerreiro,Bayern Munich,1,2,3,8.6,2.9,5.7,6
Tom Bischof,Bayern Munich,0,3,3,8.6,0.0,8.6,8
Malik Tillman,Bayer Leverkusen,2,0,2,8.3,8.3,0.0,6
Ibrahim Maza,Bayer Leverkusen,2,0,2,8.3,8.3,0.0,8
Christian Kofane,Bayer Leverkusen,2,0,2,8.3,8.3,0.0,9
Jonas Hofmann,Bayer Leverkusen,1,1,2,8.3,4.2,4.2,7
Andreas Skov Olsen,Wolfsburg,1,0,1,8.3,8.3,0.0,8
Aaron Zehnter,Wolfsburg,1,0,1,8.3,8.3,0.0,7
Christian Eriksen,Wolfsburg,0,1,1,8.3,0.0,8.3,7
Aleix García,Bayer Leverkusen,0,2,2,8.3,0.0,8.3,10
Joakim Maehle,Wolfsburg,0,1,1,8.3,0.0,8.3,7
Patrick Wimmer,Wolfsburg,0,1,1,8.3,0.0,8.3,7
Kevin Diks,Borussia M.Gladbach,1,0,1,7.7,7.7,0.0,10
Rani Khedira,Union Berlin,1,0,1,7.7,7.7,0.0,10
Tom Rothe,Union Berlin,1,0,1,7.7,7.7,0.0,9
Oscar Fraulo,Borussia M.Gladbach,1,0,1,7.7,7.7,0.0,4
Yuito Suzuki,Freiburg,1,0,1,7.7,7.7,0.0,5
Grant-Leon Ranos,Borussia M.Gladbach,1,0,1,7.7,7.7,0.0,5
Philipp Sander,Borussia M.Gladbach,1,0,1,7.7,7.7,0.0,9
Shuto Machino,Borussia M.Gladbach,1,0,1,7.7,7.7,0.0,9
Jens Castrop,Borussia M.Gladbach,1,0,1,7.7,7.7,0.0,7
Christian Günter,Freiburg,0,1,1,7.7,0.0,7.7,6
Janik Haberer,Union Berlin,0,1,1,7.7,0.0,7.7,10
Florian Neuhaus,Borussia M.Gladbach,0,1,1,7.7,0.0,7.7,8
Christopher Trimmel,Union Berlin,0,1,1,7.7,0.0,7.7,9
Luca Netz,Borussia M.Gladbach,0,1,1,7.7,0.0,7.7,6
Johan Manzambi,Freiburg,0,1,1,7.7,0.0,7.7,8
Charles Herrmann,Borussia M.Gladbach,0,1,1,7.7,0.0,7.7,1
Marius Wolf,Augsburg,1,0,1,7.1,7.1,0.0,8
Dimitris Giannoulis,Augsburg,1,0,1,7.1,7.1,0.0,8
Phillip Tietz,Augsburg,1,0,1,7.1,7.1,0.0,8
Samuel Essende,Augsburg,1,0,1,7.1,7.1,0.0,6
Noahkai Banks,Augsburg,1,0,1,7.1,7.1,0.0,7
Karim Coulibaly,Werder Bremen,1,0,1,6.7,6.7,0.0,10
Isaac Schmidt,Werder Bremen,1,0,1,6.7,6.7,0.0,6
Keke Maximilian Topp,Werder Bremen,0,1,1,6.7,0.0,6.7,6
Waldemar Anton,Borussia Dortmund,1,0,1,6.2,6.2,0.0,10
Carney Chukwuemeka,Borussia Dortmund,1,0,1,6.2,6.2,0.0,7
Daniel Svensson,Borussia Dortmund,1,0,1,6.2,6.2,0.0,10
Pascal Groß,Borussia Dortmund,0,1,1,6.2,0.0,6.2,9
Marcel Sabitzer,Borussia Dortmund,0,1,1,6.2,0.0,6.2,9
Nico Schlotterbeck,Borussia Dortmund,0,1,1,6.2,0.0,6.2,6
Fabio Silva,Borussia Dortmund,0,1,1,6.2,0.0,6.2,4
Florian Kainz,FC Cologne,1,0,1,5.9,5.9,0.0,7
Chema Andres,VfB Stuttgart,1,0,1,5.9,5.9,0.0,7
Ísak Bergmann Jóhannesson,FC Cologne,1,0,1,5.9,5.9,0.0,10
Alexander Nübel,VfB Stuttgart,0,1,1,5.9,0.0,5.9,10
Luca Jaquez,VfB Stuttgart,0,1,1,5.9,0.0,5.9,5
Lennart Karl,Bayern Munich,1,1,2,5.7,2.9,2.9,8
Castello Lukeba,RasenBallsport Leipzig,1,0,1,5.0,5.0,0.0,9
Bote Baku,RasenBallsport Leipzig,0,1,1,5.0,0.0,5.0,10
Ezechiel Banzuzi,RasenBallsport Leipzig,0,1,1,5.0,0.0,5.0,9
Albian Hajdari,Hoffenheim,1,0,1,4.8,4.8,0.0,8
Leon Avdullahu,Hoffenheim,0,1,1,4.8,0.0,4.8,10
Rasmus Kristensen,Eintracht Frankfurt,1,0,1,4.3,4.3,0.0,7
Sepe Elye Wahi,Eintracht Frankfurt,0,1,1,4.3,0.0,4.3,9
Nnamdi Collins,Eintracht Frankfurt,0,1,1,4.3,0.0,4.3,8
Martin Terrier,Bayer Leverkusen,1,0,1,4.2,4.2,0.0,3
Jarell Quansah,Bayer Leverkusen,1,0,1,4.2,4.2,0.0,8
Lucas Vázquez,Bayer Leverkusen,0,1,1,4.2,0.0,4.2,4
Nathan Tella,Bayer Leverkusen,0,1,1,4.2,0.0,4.2,3
Arthur,Bayer Leverkusen,0,1,1,4.2,0.0,4.2,6
Jonathan Tah,Bayern Munich,1,0,1,2.9,2.9,0.0,9
Nicolas Jackson,Bayern Munich,1,0,1,2.9,2.9,0.0,8
Aleksandar Pavlovic,Bayern Munich,1,0,1,2.9,2.9,0.0,8
Josip Stanisic,Bayern Munich,0,1,1,2.9,0.0,2.9,5
Kim Min-Jae,Bayern Munich,0,1,1,2.9,0.0,2.9,5
Stefan Bell,Mainz 05,0,0,0,0.0,0.0,0.0,8
Timo Werner,RasenBallsport Leipzig,0,0,0,0.0,0.0,0.0,1
Oliver Baumann,Hoffenheim,0,0,0,0.0,0.0,0.0,10
Niklas Süle,Borussia Dortmund,0,0,0,0.0,0.0,0.0,1
Michael Zetterer,Eintracht Frankfurt,0,0,0,0.0,0.0,0.0,6
Dominique Heintz,FC Cologne,0,0,0,0.0,0.0,0.0,4
Yannick Gerhardt,Wolfsburg,0,0,0,0.0,0.0,0.0,1
Kevin Kampl,RasenBallsport Leipzig,0,0,0,0.0,0.0,0.0,3
Mahmoud Dahoud,Eintracht Frankfurt,0,0,0,0.0,0.0,0.0,2
Nico Elvedi,Borussia M.Gladbach,0,0,0,0.0,0.0,0.0,10
Manuel Neuer,Bayern Munich,0,0,0,0.0,0.0,0.0,9
Danny da Costa,Mainz 05,0,0,0,0.0,0.0,0.0,10
Leonardo Bittencourt,Werder Bremen,0,0,0,0.0,0.0,0.0,7
Matthias Ginter,Freiburg,0,0,0,0.0,0.0,0.0,10
Pascal Stenzel,VfB Stuttgart,0,0,0,0.0,0.0,0.0,1
Leon Goretzka,Bayern Munich,0,0,0,0.0,0.0,0.0,9
Marvin Friedrich,Borussia M.Gladbach,0,0,0,0.0,0.0,0.0,2
Niklas Stark,Werder Bremen,0,0,0,0.0,0.0,0.0,4
Mario Götze,Eintracht Frankfurt,0,0,0,0.0,0.0,0.0,7
Robin Zentner,Mainz 05,0,0,0,0.0,0.0,0.0,8
Emre Can,Borussia Dortmund,0,0,0,0.0,0.0,0.0,1
Michy Batshuayi,Eintracht Frankfurt,0,0,0,0.0,0.0,0.0,4
Philipp Lienhart,Freiburg,0,0,0,0.0,0.0,0.0,8
Jeffrey Gouweleeuw,Augsburg,0,0,0,0.0,0.0,0.0,5
Ellyes Skhiri,Eintracht Frankfurt,0,0,0,0.0,0.0,0.0,6
Ramy Bensebaini,Borussia Dortmund,0,0,0,0.0,0.0,0.0,9
Nicolas Höfler,Freiburg,0,0,0,0.0,0.0,0.0,3
Marvin Schwäbe,FC Cologne,0,0,0,0.0,0.0,0.0,10
Anthony Jung,Freiburg,0,0,0,0.0,0.0,0.0,3
Jordan Torunarigha,Hamburger SV,0,0,0,0.0,0.0,0.0,3
Péter Gulácsi,RasenBallsport Leipzig,0,0,0,0.0,0.0,0.0,10
Dayotchanculle Upamecano,Bayern Munich,0,0,0,0.0,0.0,0.0,9
Bernardo,Hoffenheim,0,0,0,0.0,0.0,0.0,10
Yussuf Poulsen,Hamburger SV,0,0,0,0.0,0.0,0.0,6
