player,team,goals,assists,contributions,contribution_pct,goals_pct,assists_pct,games,season
João Pedro,Cagliari,13,4,17,50.0,38.2,11.8,37,2122
Domenico Berardi,Sassuolo,15,15,30,46.9,23.4,23.4,33,2122
Ciro Immobile,Lazio,27,2,29,37.7,35.1,2.6,31,2122
Mattia Destro,Genoa,9,1,10,37.0,33.3,3.7,27,2122
Antonio Candreva,Sampdoria,7,10,17,37.0,15.2,21.7,36,2122
Tammy Abraham,Roma,17,4,21,35.6,28.8,6.8,37,2122
Thomas Henry,Venezia,9,3,12,35.3,26.5,8.8,33,2122
Mattia Aramu,Venezia,7,5,12,35.3,20.6,14.7,32,2122
Marko Arnautovic,Bologna,14,1,15,34.1,31.8,2.3,33,2122
Daniele Verde,Spezia,8,6,14,34.1,19.5,14.6,33,2122
Federico Bonazzoli,Salernitana,10,0,10,30.3,30.3,0.0,32,2122
Andrea Pinamonti,Empoli,13,2,15,30.0,26.0,4.0,36,2122
Gerard Deulofeu,Udinese,13,5,18,29.5,21.3,8.2,34,2122
Mario Pasalic,Atalanta,13,6,19,29.2,20.0,9.2,37,2122
Gianluca Caprari,Verona,12,7,19,29.2,18.5,10.8,35,2122
Lautaro Martínez,Inter,21,3,24,28.6,25.0,3.6,35,2122
Sergej Milinkovic-Savic,Lazio,11,11,22,28.6,14.3,14.3,37,2122
Álvaro Morata,Juventus,9,7,16,28.1,15.8,12.3,35,2122
Rafael Leão,AC Milan,11,8,19,27.5,15.9,11.6,34,2122
Musa Barrow,Bologna,6,6,12,27.3,13.6,13.6,34,2122
Lorenzo Insigne,Napoli,11,9,20,27.0,14.9,12.2,32,2122
Paulo Dybala,Juventus,10,5,15,26.3,17.5,8.8,29,2122
Luis Muriel,Atalanta,9,8,17,26.2,13.8,12.3,27,2122
Domenico Criscito,Genoa,6,1,7,25.9,22.2,3.7,20,2122
Gianluca Scamacca,Sassuolo,16,0,16,25.0,25.0,0.0,36,2122
Milan Djuric,Salernitana,5,3,8,24.2,15.2,9.1,33,2122
Lorenzo Pellegrini,Roma,9,5,14,23.7,15.3,8.5,28,2122
Giacomo Raspadori,Sassuolo,10,5,15,23.4,15.6,7.8,36,2122
Antonin Barak,Verona,11,4,15,23.1,16.9,6.2,29,2122
Hakan Calhanoglu,Inter,7,12,19,22.6,8.3,14.3,34,2122
Nicolás González,Fiorentina,7,6,13,22.0,11.9,10.2,33,2122
Nedim Bajrami,Empoli,6,5,11,22.0,12.0,10.0,35,2122
Victor Osimhen,Napoli,14,2,16,21.6,18.9,2.7,27,2122
Duván Zapata,Atalanta,10,4,14,21.5,15.4,6.2,24,2122
Edin Dzeko,Inter,13,5,18,21.4,15.5,6.0,36,2122
David Okereke,Venezia,7,0,7,20.6,20.6,0.0,32,2122
Riccardo Orsolini,Bologna,6,3,9,20.5,13.6,6.8,29,2122
Olivier Giroud,AC Milan,11,3,14,20.3,15.9,4.3,29,2122
Jordan Veretout,Roma,4,8,12,20.3,6.8,13.6,36,2122
Andrea Belotti,Torino,8,1,9,19.6,17.4,2.2,22,2122
Manolo Gabbiadini,Sampdoria,7,2,9,19.6,15.2,4.3,18,2122
Josip Brekalo,Torino,7,2,9,19.6,15.2,4.3,32,2122
Sasa Lukic,Torino,5,4,9,19.6,10.9,8.7,35,2122
Luis Alberto,Lazio,5,10,15,19.5,6.5,13.0,34,2122
Henrikh Mkhitaryan,Roma,5,6,11,18.6,8.5,10.2,31,2122
Andrea Cambiaso,Genoa,1,4,5,18.5,3.7,14.8,26,2122
Pedro,Lazio,9,5,14,18.2,11.7,6.5,32,2122
Felipe Anderson,Lazio,6,8,14,18.2,7.8,10.4,38,2122
Beto,Udinese,11,0,11,18.0,18.0,0.0,28,2122
Ivan Perisic,Inter,8,7,15,17.9,9.5,8.3,35,2122
Nicolò Barella,Inter,3,12,15,17.9,3.6,14.3,36,2122
Leonardo Pavoletti,Cagliari,5,1,6,17.6,14.7,2.9,33,2122
Gastón Pereiro,Cagliari,4,2,6,17.6,11.8,5.9,29,2122
Antonio Sanabria,Torino,6,2,8,17.4,13.0,4.3,29,2122
Dries Mertens,Napoli,11,1,12,16.2,14.9,1.4,30,2122
Szymon Zurkowski,Empoli,6,2,8,16.0,12.0,4.0,35,2122
Zlatan Ibrahimovic,AC Milan,8,3,11,15.9,11.6,4.3,23,2122
Theo Hernández,AC Milan,5,6,11,15.9,7.2,8.7,32,2122
Ruslan Malinovskiy,Atalanta,6,4,10,15.4,9.2,6.2,30,2122
Marco Faraoni,Verona,4,6,10,15.4,6.2,9.2,32,2122
Giacomo Bonaventura,Fiorentina,4,5,9,15.3,6.8,8.5,31,2122
Fabio Quagliarella,Sampdoria,4,3,7,15.2,8.7,6.5,33,2122
Tommaso Pobega,Torino,4,3,7,15.2,8.7,6.5,33,2122
Wilfried Stephane Singo,Torino,3,4,7,15.2,6.5,8.7,35,2122
