player,team,goals,assists,contributions,contribution_pct,goals_pct,assists_pct,games,season
M'Bala Nzola,Spezia,13,2,15,48.4,41.9,6.5,31,2223
Boulaye Dia,Salernitana,16,6,22,45.8,33.3,12.5,33,2223
Domenico Berardi,Sassuolo,12,7,19,40.4,25.5,14.9,26,2223
Victor Osimhen,Napoli,26,4,30,39.0,33.8,5.2,32,2223
Antonio Sanabria,Torino,12,4,16,38.1,28.6,9.5,33,2223
Lautaro Martínez,Inter,21,6,27,38.0,29.6,8.5,38,2223
Manolo Gabbiadini,Sampdoria,7,2,9,37.5,29.2,8.3,35,2223
Gabriel Strefezza,Lecce,8,4,12,36.4,24.2,12.1,35,2223
Paulo Dybala,Roma,12,6,18,36.0,24.0,12.0,25,2223
Rafael Leão,AC Milan,15,8,23,35.9,23.4,12.5,35,2223
Tommaso Augello,Sampdoria,2,5,7,29.2,8.3,20.8,37,2223
Darko Lazovic,Verona,4,5,9,29.0,12.9,16.1,30,2223
Ademola Lookman,Atalanta,13,6,19,28.8,19.7,9.1,31,2223
Khvicha Kvaratskhelia,Napoli,12,10,22,28.6,15.6,13.0,34,2223
Ciro Immobile,Lazio,12,5,17,28.3,20.0,8.3,31,2223
Riccardo Orsolini,Bologna,11,4,15,28.3,20.8,7.5,32,2223
Sergej Milinkovic-Savic,Lazio,9,8,17,28.3,15.0,13.3,36,2223
Olivier Giroud,AC Milan,13,5,18,28.1,20.3,7.8,33,2223
Armand Lauriente,Sassuolo,7,6,13,27.7,14.9,12.8,28,2223
Mattia Zaccagni,Lazio,10,6,16,26.7,16.7,10.0,35,2223
Nikola Vlasic,Torino,5,6,11,26.2,11.9,14.3,34,2223
Roberto Pereyra,Udinese,5,7,12,25.5,10.6,14.9,34,2223
Patrick Ciurria,Monza,6,6,12,25.0,12.5,12.5,36,2223
Beto,Udinese,10,1,11,23.4,21.3,2.1,33,2223
Sandi Lovric,Udinese,5,6,11,23.4,10.6,12.8,37,2223
Antonio Candreva,Salernitana,7,4,11,22.9,14.6,8.3,35,2223
Carlos Augusto,Monza,6,5,11,22.9,12.5,10.4,35,2223
Romelu Lukaku,Inter,10,6,16,22.5,14.1,8.5,25,2223
Daniel Ciofani,Cremonese,8,0,8,22.2,22.2,0.0,32,2223
Cyriel Dessers,Cremonese,6,2,8,22.2,16.7,5.6,26,2223
Tammy Abraham,Roma,8,3,11,22.0,16.0,6.0,38,2223
Luis Alberto,Lazio,6,7,13,21.7,10.0,11.7,35,2223
Dusan Vlahovic,Juventus,10,2,12,21.4,17.9,3.6,27,2223
Adrien Rabiot,Juventus,8,4,12,21.4,14.3,7.1,32,2223
Aleksey Miranchuk,Torino,4,5,9,21.4,9.5,11.9,29,2223
Teun Koopmeiners,Atalanta,10,4,14,21.2,15.2,6.1,33,2223
Lorenzo Colombo,Lecce,5,2,7,21.2,15.2,6.1,33,2223
Musa Barrow,Bologna,3,8,11,20.8,5.7,15.1,32,2223
Brahim Diaz,AC Milan,6,7,13,20.3,9.4,10.9,33,2223
Filip Kostic,Juventus,3,8,11,19.6,5.4,14.3,37,2223
David Okereke,Cremonese,7,0,7,19.4,19.4,0.0,33,2223
Simone Bastoni,Spezia,2,4,6,19.4,6.5,12.9,19,2223
Lazar Samardzic,Udinese,5,4,9,19.1,10.6,8.5,37,2223
Marko Arnautovic,Bologna,10,0,10,18.9,18.9,0.0,21,2223
Nicolò Cambiaghi,Empoli,6,1,7,18.9,16.2,2.7,28,2223
Andrea Petagna,Monza,4,5,9,18.8,8.3,10.4,31,2223
Krzysztof Piatek,Salernitana,4,5,9,18.8,8.3,10.4,33,2223
Felipe Anderson,Lazio,9,2,11,18.3,15.0,3.3,38,2223
Assan Ceesay,Lecce,6,0,6,18.2,18.2,0.0,34,2223
Stephan El Shaarawy,Roma,7,2,9,18.0,14.0,4.0,29,2223
Lorenzo Pellegrini,Roma,4,5,9,18.0,8.0,10.0,32,2223
Arthur Cabral,Fiorentina,8,1,9,17.0,15.1,1.9,28,2223
Luka Jovic,Fiorentina,6,3,9,17.0,11.3,5.7,31,2223
Gerard Deulofeu,Udinese,2,6,8,17.0,4.3,12.8,16,2223
Edin Dzeko,Inter,9,3,12,16.9,12.7,4.2,33,2223
Nicolò Barella,Inter,6,6,12,16.9,8.5,8.5,35,2223
Rasmus Højlund,Atalanta,9,2,11,16.7,13.6,3.0,32,2223
Matteo Pessina,Monza,5,3,8,16.7,10.4,6.2,35,2223
Razvan Marin,Empoli,2,4,6,16.2,5.4,10.8,33,2223
Tyronne Ebuehi,Empoli,2,4,6,16.2,5.4,10.8,26,2223
Simone Verdi,Verona,5,0,5,16.1,16.1,0.0,24,2223
Marco Faraoni,Verona,2,3,5,16.1,6.5,9.7,23,2223
Josh Doig,Verona,2,3,5,16.1,6.5,9.7,22,2223
Stefan Posch,Bologna,6,2,8,15.1,11.3,3.8,30,2223
Jonathan Ikone,Fiorentina,4,4,8,15.1,7.5,7.5,33,2223
Christian Kouamé,Fiorentina,4,4,8,15.1,7.5,7.5,28,2223
Davide Frattesi,Sassuolo,7,0,7,14.9,14.9,0.0,36,2223
Iyenoma Destiny Udogie,Udinese,3,4,7,14.9,6.4,8.5,33,2223
Isaac Success,Udinese,1,6,7,14.9,2.1,12.8,30,2223
Gianluca Caprari,Monza,5,2,7,14.6,10.4,4.2,37,2223
Arkadiusz Milik,Juventus,7,1,8,14.3,12.5,1.8,27,2223
Ángel Di María,Juventus,4,4,8,14.3,7.1,7.1,26,2223
Piotr Zielinski,Napoli,3,8,11,14.3,3.9,10.4,37,2223
Sandro Tonali,AC Milan,2,7,9,14.1,3.1,10.9,34,2223
Emanuele Valeri,Cremonese,2,3,5,13.9,5.6,8.3,37,2223
Lewis Ferguson,Bologna,7,0,7,13.2,13.2,0.0,32,2223
Nicolás González,Fiorentina,6,1,7,13.2,11.3,1.9,24,2223
Riccardo Saponara,Fiorentina,4,3,7,13.2,7.5,5.7,29,2223
Cyril Ngonge,Verona,3,1,4,12.9,9.7,3.2,14,2223
Mehdi Bourabia,Spezia,1,3,4,12.9,3.2,9.7,37,2223
Hakan Calhanoglu,Inter,3,6,9,12.7,4.2,8.5,33,2223
Dany Mota,Monza,5,1,6,12.5,10.4,2.1,29,2223
Filip Djuricic,Sampdoria,3,0,3,12.5,12.5,0.0,32,2223
Lassana Coulibaly,Salernitana,3,3,6,12.5,6.2,6.2,35,2223
Federico Chiesa,Juventus,2,5,7,12.5,3.6,8.9,21,2223
Federico Di Francesco,Lecce,2,2,4,12.1,6.1,6.1,36,2223
Joan Gonzàlez,Lecce,1,3,4,12.1,3.0,9.1,35,2223
Morten Hjulmand,Lecce,0,4,4,12.1,0.0,12.1,35,2223
Mergim Vojvoda,Torino,0,5,5,11.9,0.0,11.9,29,2223
Eljif Elmas,Napoli,6,3,9,11.7,7.8,3.9,36,2223
Pedro,Lazio,4,3,7,11.7,6.7,5.0,36,2223
Giacomo Bonaventura,Fiorentina,5,1,6,11.3,9.4,1.9,30,2223
Nicola Sansone,Bologna,4,2,6,11.3,7.5,3.8,18,2223
Marcelo Brozovic,Inter,3,5,8,11.3,4.2,7.0,28,2223
Cristiano Biraghi,Fiorentina,2,4,6,11.3,3.8,7.5,33,2223
Nikola Moro,Bologna,1,5,6,11.3,1.9,9.4,26,2223
Frank Tsadjout,Cremonese,3,1,4,11.1,8.3,2.8,20,2223
Leonardo Sernicola,Cremonese,2,2,4,11.1,5.6,5.6,32,2223
Junior Messias,AC Milan,5,2,7,10.9,7.8,3.1,25,2223
Theo Hernández,AC Milan,4,3,7,10.9,6.2,4.7,32,2223
Tommaso Baldanzi,Empoli,4,0,4,10.8,10.8,0.0,26,2223
Moise Kean,Juventus,6,0,6,10.7,10.7,0.0,28,2223
Danilo,Juventus,3,3,6,10.7,5.4,5.4,37,2223
Nicolo Fagioli,Juventus,3,3,6,10.7,5.4,5.4,26,2223
Mario Pasalic,Atalanta,5,2,7,10.6,7.6,3.0,32,2223
Andrea Pinamonti,Sassuolo,5,0,5,10.6,10.6,0.0,32,2223
Matheus Henrique,Sassuolo,4,1,5,10.6,8.5,2.1,30,2223
Jaka Bijol,Udinese,3,2,5,10.6,6.4,4.3,32,2223
Jeremie Boga,Atalanta,2,5,7,10.6,3.0,7.6,23,2223
Andrea Colpani,Monza,4,1,5,10.4,8.3,2.1,27,2223
Tonny Vilhena,Salernitana,4,1,5,10.4,8.3,2.1,33,2223
Franck Zambo,Napoli,3,5,8,10.4,3.9,6.5,36,2223
Pasquale Mazzocchi,Salernitana,2,3,5,10.4,4.2,6.2,27,2223
Leonardo Spinazzola,Roma,1,4,5,10.0,2.0,8.0,26,2223
Federico Dimarco,Inter,4,3,7,9.9,5.6,4.2,33,2223
Daniele Verde,Spezia,3,0,3,9.7,9.7,0.0,25,2223
Kevin Lasagna,Verona,1,2,3,9.7,3.2,6.5,26,2223
Yann Karamoh,Torino,4,0,4,9.5,9.5,0.0,21,2223
Nemanja Radonjic,Torino,2,2,4,9.5,4.8,4.8,28,2223
Nicolás Domínguez,Bologna,3,2,5,9.4,5.7,3.8,31,2223
Rolando Mandragora,Fiorentina,1,4,5,9.4,1.9,7.5,29,2223
