player,team,goals,assists,contributions,contribution_pct,goals_pct,assists_pct,games,season
Dusan Vlahovic,Fiorentina,21,3,24,51.1,44.7,6.4,37,2021
Simy,Crotone,20,2,22,48.9,44.4,4.4,38,2021
João Pedro,Cagliari,16,3,19,44.2,37.2,7.0,37,2021
Rodrigo de Paul,Udinese,9,9,18,42.9,21.4,21.4,36,2021
Ciro Immobile,Lazio,20,6,26,42.6,32.8,9.8,35,2021
Cristiano Ronaldo,Juventus,29,3,32,41.6,37.7,3.9,33,2021
Romelu Lukaku,Inter,24,11,35,39.3,27.0,12.4,36,2021
Andrea Belotti,Torino,13,6,19,38.0,26.0,12.0,35,2021
Domenico Berardi,Sassuolo,17,7,24,37.5,26.6,10.9,30,2021
Henrikh Mkhitaryan,Roma,13,10,23,33.8,19.1,14.7,34,2021
Luis Muriel,Atalanta,22,8,30,33.3,24.4,8.9,36,2021
Musa Barrow,Bologna,8,8,16,31.4,15.7,15.7,38,2021
Lorenzo Insigne,Napoli,19,7,26,30.2,22.1,8.1,35,2021
Roberto Soriano,Bologna,9,6,15,29.4,17.6,11.8,37,2021
Junior Messias,Crotone,9,4,13,28.9,20.0,8.9,36,2021
Roberto Pereyra,Udinese,5,7,12,28.6,11.9,16.7,34,2021
Sergej Milinkovic-Savic,Lazio,7,10,17,27.9,11.5,16.4,32,2021
Gianluca Caprari,Benevento,5,6,11,27.5,12.5,15.0,30,2021
Fabio Quagliarella,Sampdoria,13,1,14,26.9,25.0,1.9,33,2021
M'Bala Nzola,Spezia,11,3,14,26.9,21.2,5.8,25,2021
Duván Zapata,Atalanta,15,9,24,26.7,16.7,10.0,37,2021
Álvaro Morata,Juventus,11,9,20,26.0,14.3,11.7,32,2021
Lautaro Martínez,Inter,17,6,23,25.8,19.1,6.7,38,2021
Hernani,Parma Calcio 1913,7,3,10,25.6,17.9,7.7,33,2021
Mattia Zaccagni,Verona,6,5,11,25.6,14.0,11.6,36,2021
Marco Faraoni,Verona,4,7,11,25.6,9.3,16.3,34,2021
Mattia Destro,Genoa,11,1,12,25.5,23.4,2.1,29,2021
Francesco Caputo,Sassuolo,11,5,16,25.0,17.2,7.8,25,2021
Gianluca Lapadula,Benevento,8,2,10,25.0,20.0,5.0,37,2021
Antonio Candreva,Sampdoria,5,8,13,25.0,9.6,15.4,35,2021
Antonin Barak,Verona,7,3,10,23.3,16.3,7.0,34,2021
Juraj Kucka,Parma Calcio 1913,7,2,9,23.1,17.9,5.1,28,2021
Zlatan Ibrahimovic,AC Milan,15,2,17,23.0,20.3,2.7,19,2021
Franck Kessié,AC Milan,13,4,17,23.0,17.6,5.4,37,2021
Ruslan Malinovskiy,Atalanta,8,12,20,22.2,8.9,13.3,36,2021
Gianluca Scamacca,Genoa,8,2,10,21.3,17.0,4.3,26,2021
Goran Pandev,Genoa,7,3,10,21.3,14.9,6.4,29,2021
Piotr Zielinski,Napoli,8,10,18,20.9,9.3,11.6,36,2021
Darko Lazovic,Verona,3,6,9,20.9,7.0,14.0,32,2021
Razvan Marin,Cagliari,3,6,9,20.9,7.0,14.0,37,2021
Ante Rebic,AC Milan,11,4,15,20.3,14.9,5.4,27,2021
Nicolas Viola,Benevento,5,3,8,20.0,12.5,7.5,17,2021
Dries Mertens,Napoli,9,8,17,19.8,10.5,9.3,29,2021
Riccardo Orsolini,Bologna,7,3,10,19.6,13.7,5.9,34,2021
Rodrigo Palacio,Bologna,5,5,10,19.6,9.8,9.8,36,2021
Emmanuel Gyasi,Spezia,4,6,10,19.2,7.7,11.5,37,2021
Eldor Shomurodov,Genoa,8,1,9,19.1,17.0,2.1,31,2021
Lorenzo Pellegrini,Roma,7,6,13,19.1,10.3,8.8,34,2021
Robin Gosens,Atalanta,11,6,17,18.9,12.2,6.7,32,2021
Giovanni Simeone,Cagliari,6,2,8,18.6,14.0,4.7,33,2021
Federico Dimarco,Verona,5,3,8,18.6,11.6,7.0,35,2021
Luis Alberto,Lazio,9,2,11,18.0,14.8,3.3,34,2021
Joaquín Correa,Lazio,8,3,11,18.0,13.1,4.9,28,2021
Jordan Veretout,Roma,10,2,12,17.6,14.7,2.9,29,2021
Borja Mayoral,Roma,10,2,12,17.6,14.7,2.9,31,2021
Hakan Calhanoglu,AC Milan,4,9,13,17.6,5.4,12.2,33,2021
Jakub Jankto,Sampdoria,6,3,9,17.3,11.5,5.8,35,2021
Gaetano Castrovilli,Fiorentina,5,3,8,17.0,10.6,6.4,34,2021
Franck Ribéry,Fiorentina,2,6,8,17.0,4.3,12.8,29,2021
Achraf Hakimi,Inter,7,8,15,16.9,7.9,9.0,37,2021
Josip Ilicic,Atalanta,6,9,15,16.7,6.7,10.0,28,2021
Nahuel Molina,Udinese,2,5,7,16.7,4.8,11.9,29,2021
Hirving Lozano,Napoli,11,3,14,16.3,12.8,3.5,32,2021
Leonardo Pavoletti,Cagliari,4,3,7,16.3,9.3,7.0,33,2021
Theo Hernández,AC Milan,7,5,12,16.2,9.5,6.8,33,2021
Rafael Leão,AC Milan,6,6,12,16.2,8.1,8.1,30,2021
Juan Cuadrado,Juventus,2,10,12,15.6,2.6,13.0,30,2021
Keita,Sampdoria,7,1,8,15.4,13.5,1.9,25,2021
Gervinho,Parma Calcio 1913,5,1,6,15.4,12.8,2.6,27,2021
Victor Osimhen,Napoli,10,3,13,15.1,11.6,3.5,24,2021
Matteo Politano,Napoli,9,4,13,15.1,10.5,4.7,37,2021
Marco Sau,Benevento,4,2,6,15.0,10.0,5.0,24,2021
Roberto Insigne,Benevento,2,4,6,15.0,5.0,10.0,30,2021
Edin Dzeko,Roma,7,3,10,14.7,10.3,4.4,27,2021
Alexis Sánchez,Inter,7,6,13,14.6,7.9,6.7,30,2021
Filip Djuricic,Sassuolo,5,4,9,14.1,7.8,6.2,32,2021
Charalampos Lykogiannis,Cagliari,4,2,6,14.0,9.3,4.7,31,2021
Cristian Ansaldi,Torino,1,6,7,14.0,2.0,12.0,31,2021
Mattias Svanberg,Bologna,5,2,7,13.7,9.8,3.9,34,2021
Daniele Verde,Spezia,6,1,7,13.5,11.5,1.9,21,2021
Simone Bastoni,Spezia,1,6,7,13.5,1.9,11.5,22,2021
Felipe Caicedo,Lazio,8,0,8,13.1,13.1,0.0,25,2021
Davide Zappacosta,Genoa,4,2,6,12.8,8.5,4.3,25,2021
Cristiano Biraghi,Fiorentina,1,5,6,12.8,2.1,10.6,35,2021
Giuseppe Pezzella,Parma Calcio 1913,1,4,5,12.8,2.6,10.3,24,2021
Andreas Cornelius,Parma Calcio 1913,1,4,5,12.8,2.6,10.3,29,2021
Simone Zaza,Torino,6,0,6,12.0,12.0,0.0,29,2021
Antonio Sanabria,Torino,5,1,6,12.0,10.0,2.0,14,2021
Simone Verdi,Torino,1,5,6,12.0,2.0,10.0,33,2021
Stefano Okaka,Udinese,4,1,5,11.9,9.5,2.4,22,2021
Tommaso Pobega,Spezia,6,0,6,11.5,11.5,0.0,20,2021
Diego Farias,Spezia,4,2,6,11.5,7.7,3.8,29,2021
Valerio Verre,Sampdoria,3,3,6,11.5,5.8,5.8,27,2021
Manuel Lazzari,Lazio,2,5,7,11.5,3.3,8.2,32,2021
Mikkel Damsgaard,Sampdoria,2,4,6,11.5,3.8,7.7,35,2021
Nicolò Barella,Inter,3,7,10,11.2,3.4,7.9,36,2021
Arkadiusz Reca,Crotone,2,3,5,11.1,4.4,6.7,30,2021
Salvatore Molina,Crotone,1,4,5,11.1,2.2,8.9,29,2021
Hamed Junior Traore,Sassuolo,5,2,7,10.9,7.8,3.1,35,2021
Giacomo Bonaventura,Fiorentina,3,2,5,10.6,6.4,4.3,34,2021
Marko Pjaca,Genoa,3,2,5,10.6,6.4,4.3,35,2021
Milan Badelj,Genoa,1,4,5,10.6,2.1,8.5,30,2021
Giovanni Di Lorenzo,Napoli,3,6,9,10.5,3.5,7.0,36,2021
Pedro,Roma,5,2,7,10.3,7.4,2.9,27,2021
Jasmin Kurtic,Parma Calcio 1913,4,0,4,10.3,10.3,0.0,34,2021
Riccardo Gagliolo,Parma Calcio 1913,2,2,4,10.3,5.1,5.1,28,2021
Rick Karsdorp,Roma,1,6,7,10.3,1.5,8.8,34,2021
Bremer,Torino,5,0,5,10.0,10.0,0.0,33,2021
Gaetano Letizia,Benevento,3,1,4,10.0,7.5,2.5,24,2021
Emanuel Vignato,Bologna,1,4,5,9.8,2.0,7.8,31,2021
Roberto Piccoli,Spezia,5,0,5,9.6,9.6,0.0,20,2021
Manolo Gabbiadini,Sampdoria,3,2,5,9.6,5.8,3.8,16,2021
Brahim Diaz,AC Milan,4,3,7,9.5,5.4,4.1,27,2021
Ignacio Pussetto,Udinese,3,1,4,9.5,7.1,2.4,11,2021
Ilija Nestorovski,Udinese,2,2,4,9.5,4.8,4.8,22,2021
Giacomo Raspadori,Sassuolo,6,0,6,9.4,9.4,0.0,27,2021
Manuel Locatelli,Sassuolo,4,2,6,9.4,6.2,3.1,34,2021
Jeremie Boga,Sassuolo,4,2,6,9.4,6.2,3.1,27,2021
Gregoire Defrel,Sassuolo,3,3,6,9.4,4.7,4.7,28,2021
Miguel Veloso,Verona,2,2,4,9.3,4.7,4.7,21,2021
Nahitan Nández,Cagliari,2,2,4,9.3,4.7,4.7,32,2021
Gastón Pereiro,Cagliari,2,2,4,9.3,4.7,4.7,15,2021
