player,team,goals,assists,contributions,contribution_pct,goals_pct,assists_pct,games,season
Federico Dimarco,Inter,5,6,11,12.4,5.6,6.7,30,2324
Leandro Paredes,Roma,3,5,8,12.3,4.6,7.7,34,2324
Leonardo Pavoletti,Cagliari,4,1,5,11.9,9.5,2.4,19,2324
Nahitan Nández,Cagliari,2,3,5,11.9,4.8,7.1,33,2324
Theo Hernández,AC Milan,5,4,9,11.8,6.6,5.3,32,2324
Jeremy Toljan,Sassuolo,0,5,5,11.6,0.0,11.6,25,2324
Cristiano Biraghi,Fiorentina,2,5,7,11.5,3.3,8.2,29,2324
Alfred Duncan,Fiorentina,2,5,7,11.5,3.3,8.2,30,2324
Luca Mazzitelli,Frosinone,5,0,5,11.4,11.4,0.0,29,2324
Henrikh Mkhitaryan,Inter,2,8,10,11.2,2.2,9.0,36,2324
Ruslan Malinovskiy,Genoa,4,1,5,11.1,8.9,2.2,28,2324
Alexis Saelemaekers,Bologna,4,2,6,11.1,7.4,3.7,30,2324
Caleb Ekuban,Genoa,4,1,5,11.1,8.9,2.2,29,2324
Aleksey Miranchuk,Atalanta,3,5,8,11.1,4.2,6.9,27,2324
Valentino Lazaro,Torino,0,4,4,11.1,0.0,11.1,35,2324
Bryan Cristante,Roma,3,4,7,10.8,4.6,6.2,37,2324
Stephan El Shaarawy,Roma,3,4,7,10.8,4.6,6.2,33,2324
Martín Payero,Udinese,2,2,4,10.8,5.4,5.4,29,2324
Sandi Lovric,Udinese,1,3,4,10.8,2.7,8.1,29,2324
Noah Okafor,AC Milan,6,2,8,10.5,7.9,2.6,28,2324
Federico Bonazzoli,Verona,3,1,4,10.5,7.9,2.6,24,2324
Francesco Caputo,Empoli,3,0,3,10.3,10.3,0.0,20,2324
Viktor Kovalenko,Empoli,2,1,3,10.3,6.9,3.4,17,2324
Emmanuel Gyasi,Empoli,1,2,3,10.3,3.4,6.9,33,2324
Razvan Marin,Empoli,0,3,3,10.3,0.0,10.3,30,2324
Matteo Guendouzi,Lazio,2,3,5,10.2,4.1,6.1,33,2324
Davide Frattesi,Inter,6,3,9,10.1,6.7,3.4,32,2324
Lucas Martínez Quarta,Fiorentina,5,1,6,9.8,8.2,1.6,29,2324
Rolando Mandragora,Fiorentina,3,3,6,9.8,4.9,4.9,33,2324
M'Bala Nzola,Fiorentina,3,3,6,9.8,4.9,4.9,33,2324
Éderson,Atalanta,6,1,7,9.7,8.3,1.4,36,2324
Gianluca Lapadula,Cagliari,3,1,4,9.5,7.1,2.4,23,2324
Gabriele Zappa,Cagliari,1,3,4,9.5,2.4,7.1,38,2324
Simy,Salernitana,3,0,3,9.4,9.4,0.0,15,2324
Pontus Almqvist,Lecce,2,1,3,9.4,6.2,3.1,30,2324
Junior Sambia,Salernitana,1,2,3,9.4,3.1,6.2,18,2324
Domagoj Bradaric,Salernitana,0,3,3,9.4,0.0,9.4,34,2324
Antonino Gallo,Lecce,0,3,3,9.4,0.0,9.4,35,2324
Arkadiusz Milik,Juventus,4,1,5,9.3,7.4,1.9,32,2324
Andrea Cambiaso,Juventus,2,3,5,9.3,3.7,5.6,34,2324
Nedim Bajrami,Sassuolo,2,2,4,9.3,4.7,4.7,28,2324
Matheus Henrique,Sassuolo,2,2,4,9.3,4.7,4.7,31,2324
Manuel Locatelli,Juventus,1,4,5,9.3,1.9,7.4,36,2324
Ruben Loftus-Cheek,AC Milan,6,1,7,9.2,7.9,1.3,29,2324
Luka Jovic,AC Milan,6,1,7,9.2,7.9,1.3,23,2324
Piotr Zielinski,Napoli,3,2,5,9.1,5.5,3.6,28,2324
Ilario Monterisi,Frosinone,2,2,4,9.1,4.5,4.5,24,2324
Reinier,Frosinone,2,2,4,9.1,4.5,4.5,22,2324
Riccardo Marchizza,Frosinone,0,4,4,9.1,0.0,9.1,13,2324
Marko Arnautovic,Inter,5,3,8,9.0,5.6,3.4,27,2324
Denzel Dumfries,Inter,4,4,8,9.0,4.5,4.5,31,2324
Morten Thorsby,Genoa,2,2,4,8.9,4.4,4.4,24,2324
Milan Badelj,Genoa,1,3,4,8.9,2.2,6.7,33,2324
Alessandro Buongiorno,Torino,3,0,3,8.3,8.3,0.0,29,2324
Nemanja Radonjic,Torino,3,0,3,8.3,8.3,0.0,10,2324
Ricardo Rodríguez,Torino,1,2,3,8.3,2.8,5.6,35,2324
Samuele Ricci,Torino,1,2,3,8.3,2.8,5.6,32,2324
Mergim Vojvoda,Torino,0,3,3,8.3,0.0,8.3,28,2324
Gustav Isaksen,Lazio,3,1,4,8.2,6.1,2.0,28,2324
Daichi Kamada,Lazio,2,2,4,8.2,4.1,4.1,29,2324
Antonin Barak,Fiorentina,2,3,5,8.2,3.3,4.9,21,2324
Riccardo Sottil,Fiorentina,2,3,5,8.2,3.3,4.9,22,2324
Arthur,Fiorentina,2,3,5,8.2,3.3,4.9,33,2324
Thomas Henry,Verona,3,0,3,7.9,7.9,0.0,18,2324
Tijjani Reijnders,AC Milan,3,3,6,7.9,3.9,3.9,36,2324
Alexis Sánchez,Inter,2,5,7,7.9,2.2,5.6,23,2324
