Rank,Team,Elo,Matches
1,Inter,1793.57,201
2,Napoli,1709.04,201
3,Roma,1691.4,201
4,Milan,1679.06,201
5,Juventus,1669.75,201
6,Atalanta,1646.29,201
7,Bologna,1643.64,201
8,Lazio,1615.42,201
9,Como,1581.49,49
10,Fiorentina,1553.29,201
11,Torino,1532.56,201
12,Pisa,1487.57,11
13,Udinese,1459.06,201
14,Genoa,1450.3,163
15,Sassuolo,1446.82,163
16,Cremonese,1428.44,49
17,Cagliari,1422.56,163
18,Lecce,1408.98,125
19,Verona,1397.02,201
20,Parma,1386.94,87
