player,team,goals,assists,contributions,contribution_pct,goals_pct,assists_pct,games,season
Nikola Krstovic,Lecce,11,5,16,59.3,40.7,18.5,37,2425
Mateo Retegui,Atalanta,25,8,33,42.3,32.1,10.3,36,2425
Romelu Lukaku,Napoli,14,10,24,40.7,23.7,16.9,36,2425
Moise Kean,Fiorentina,19,3,22,36.7,31.7,5.0,32,2425
Riccardo Orsolini,Bologna,15,4,19,33.3,26.3,7.0,30,2425
Christian Pulisic,AC Milan,11,9,20,32.8,18.0,14.8,34,2425
Lorenzo Lucca,Udinese,12,1,13,31.7,29.3,2.4,33,2425
Che Adams,Torino,9,3,12,30.8,23.1,7.7,36,2425
Andrea Pinamonti,Genoa,10,1,11,29.7,27.0,2.7,36,2425
Nico Paz,Como,6,8,14,28.6,12.2,16.3,35,2425
Roberto Piccoli,Cagliari,10,1,11,27.5,25.0,2.5,37,2425
Scott McTominay,Napoli,12,4,16,27.1,20.3,6.8,34,2425
Florian Thauvin,Udinese,8,3,11,26.8,19.5,7.3,25,2425
Rafael Leão,AC Milan,8,8,16,26.2,13.1,13.1,34,2425
Ademola Lookman,Atalanta,15,5,20,25.6,19.2,6.4,31,2425
Artem Dovbyk,Roma,12,2,14,25.0,21.4,3.6,32,2425
Dany Mota,Monza,5,2,7,25.0,17.9,7.1,31,2425
Sebastiano Esposito,Empoli,8,0,8,24.2,24.2,0.0,33,2425
Lorenzo Colombo,Empoli,6,2,8,24.2,18.2,6.1,37,2425
Dusan Vlahovic,Juventus,10,4,14,24.1,17.2,6.9,29,2425
Nikola Vlasic,Torino,5,4,9,23.1,12.8,10.3,30,2425
Tijjani Reijnders,AC Milan,10,4,14,23.0,16.4,6.6,37,2425
Mattia Zaccagni,Lazio,8,6,14,23.0,13.1,9.8,34,2425
Marcus Thuram,Inter,14,4,18,22.8,17.7,5.1,32,2425
Ange-Yoan Bonny,Parma Calcio 1913,6,4,10,22.7,13.6,9.1,37,2425
Patrick Cutrone,Como,7,4,11,22.4,14.3,8.2,33,2425
Santiago Pierotti,Lecce,4,2,6,22.2,14.8,7.4,36,2425
Aarón Martín,Genoa,0,8,8,21.6,0.0,21.6,36,2425
Georgios Kyriakopoulos,Monza,2,4,6,21.4,7.1,14.3,34,2425
Valentín Castellanos,Lazio,10,3,13,21.3,16.4,4.9,29,2425
Dan Ndoye,Bologna,8,4,12,21.1,14.0,7.0,30,2425
Santiago Castro,Bologna,8,4,12,21.1,14.0,7.0,36,2425
Casper Tengstedt,Verona,6,1,7,20.6,17.6,2.9,25,2425
Gabriel Strefezza,Como,6,4,10,20.4,12.2,8.2,37,2425
Nadir Zortea,Cagliari,6,2,8,20.0,15.0,5.0,35,2425
Boulaye Dia,Lazio,9,3,12,19.7,14.8,4.9,35,2425
Lautaro Martínez,Inter,12,3,15,19.0,15.2,3.8,31,2425
Kenan Yildiz,Juventus,7,4,11,19.0,12.1,6.9,35,2425
Joel Pohjanpalo,Venezia,6,0,6,18.8,18.8,0.0,20,2425
Hans Nicolussi Caviglia,Venezia,4,2,6,18.8,12.5,6.2,35,2425
Gaetano Oristanio,Venezia,3,3,6,18.8,9.4,9.4,37,2425
Tete Morente,Lecce,3,2,5,18.5,11.1,7.4,31,2425
Assane Diao,Como,8,1,9,18.4,16.3,2.0,15,2425
Dennis Man,Parma Calcio 1913,4,4,8,18.2,9.1,9.1,33,2425
Liberato Cacace,Empoli,2,4,6,18.2,6.1,12.1,33,2425
Emanuele Valeri,Parma Calcio 1913,2,6,8,18.2,4.5,13.6,35,2425
Pedro,Lazio,10,1,11,18.0,16.4,1.6,30,2425
Charles De Ketelaere,Atalanta,7,7,14,17.9,9.0,9.0,36,2425
Matìas Soulè Malvano,Roma,5,5,10,17.9,8.9,8.9,27,2425
Gianluca Caprari,Monza,3,2,5,17.9,10.7,7.1,34,2425
Daniel Mosquera,Verona,5,1,6,17.6,14.7,2.9,35,2425
Tommaso Augello,Cagliari,0,7,7,17.5,0.0,17.5,38,2425
Franck Zambo,Napoli,6,4,10,16.9,10.2,6.8,35,2425
Robin Gosens,Fiorentina,5,5,10,16.7,8.3,8.3,32,2425
Yacine Adli,Fiorentina,4,6,10,16.7,6.7,10.0,26,2425
Fabio Miretti,Genoa,3,3,6,16.2,8.1,8.1,25,2425
Paulo Dybala,Roma,6,3,9,16.1,10.7,5.4,24,2425
Randal Kolo Muani,Juventus,8,1,9,15.5,13.8,1.7,16,2425
Kephren Thuram,Juventus,4,5,9,15.5,6.9,8.6,35,2425
Valentino Lazaro,Torino,0,6,6,15.4,0.0,15.4,33,2425
Jacopo Fazzini,Empoli,4,1,5,15.2,12.1,3.0,20,2425
Faustino Anjorin,Empoli,2,3,5,15.2,6.1,9.1,22,2425
Lucas Beltrán,Fiorentina,5,4,9,15.0,8.3,6.7,33,2425
Gianluca Gaetano,Cagliari,2,4,6,15.0,5.0,10.0,28,2425
Patrick Dorgu,Lecce,3,1,4,14.8,11.1,3.7,21,2425
Thórir Helgason,Lecce,0,4,4,14.8,0.0,14.8,21,2425
Amin Sarr,Verona,4,1,5,14.7,11.8,2.9,32,2425
Darko Lazovic,Verona,2,3,5,14.7,5.9,8.8,27,2425
Jackson Tchatchoua,Verona,2,3,5,14.7,5.9,8.8,36,2425
Eldor Shomurodov,Roma,4,4,8,14.3,7.1,7.1,27,2425
Pedro Pereira,Monza,1,3,4,14.3,3.6,10.7,35,2425
Hakan Calhanoglu,Inter,5,6,11,13.9,6.3,7.6,29,2425
Federico Dimarco,Inter,4,7,11,13.9,5.1,8.9,33,2425
Khvicha Kvaratskhelia,Napoli,5,3,8,13.6,8.5,5.1,17,2425
Hernani,Parma Calcio 1913,3,3,6,13.6,6.8,6.8,25,2425
Vitinha,Genoa,2,3,5,13.5,5.4,8.1,25,2425
Nuno Tavares,Lazio,0,8,8,13.1,0.0,13.1,23,2425
Stephan El Shaarawy,Roma,3,4,7,12.5,5.4,7.1,31,2425
