Season,Team,Match_Number,Date,Opponent,Venue,Result,FTHG,FTAG,Points_cur,Points_prev,Differential,Cumulative
2223,Atalanta,1,2022-08-13,Sampdoria,A,W,0,2,3,3.0,0.0,0.0
2223,Atalanta,2,2022-08-21,Milan,H,D,1,1,1,0.0,1.0,1.0
2223,Atalanta,3,2022-08-28,Verona,A,W,0,1,3,3.0,0.0,1.0
2223,Atalanta,4,2022-09-01,Torino,H,W,3,1,3,1.0,2.0,3.0
2223,Atalanta,5,2022-09-18,Roma,A,W,0,1,3,0.0,3.0,6.0
2223,Atalanta,6,2022-10-02,Fiorentina,H,W,1,0,3,0.0,3.0,9.0
2223,Atalanta,7,2022-10-09,Udinese,A,D,2,2,1,3.0,-2.0,7.0
2223,Atalanta,8,2022-10-15,Sassuolo,H,W,2,1,3,3.0,0.0,7.0
2223,Atalanta,9,2022-10-23,Lazio,H,L,0,2,0,1.0,-1.0,6.0
2223,Atalanta,10,2022-10-30,Empoli,A,W,0,2,3,3.0,0.0,6.0
2223,Atalanta,11,2022-11-05,Napoli,H,L,1,2,0,0.0,0.0,6.0
2223,Atalanta,12,2022-11-13,Inter,H,L,2,3,0,1.0,-1.0,5.0
2223,Atalanta,13,2023-01-04,Spezia,A,D,2,2,1,3.0,-2.0,3.0
2223,Atalanta,14,2023-01-09,Bologna,A,W,1,2,3,3.0,0.0,3.0
2223,Atalanta,15,2023-01-15,Salernitana,H,W,8,2,3,1.0,2.0,5.0
2223,Atalanta,16,2023-01-22,Juventus,A,D,3,3,1,3.0,-2.0,3.0
2223,Atalanta,17,2023-01-28,Sampdoria,H,W,2,0,3,3.0,0.0,3.0
2223,Atalanta,18,2023-02-04,Sassuolo,A,L,1,0,0,0.0,0.0,3.0
2223,Atalanta,19,2023-02-11,Lazio,A,W,0,2,3,1.0,2.0,5.0
2223,Atalanta,20,2023-02-26,Milan,A,L,2,0,0,0.0,0.0,5.0
2223,Atalanta,21,2023-03-04,Udinese,H,D,0,0,1,1.0,0.0,5.0
2223,Atalanta,22,2023-03-11,Napoli,A,L,2,0,0,3.0,-3.0,2.0
2223,Atalanta,23,2023-03-17,Empoli,H,W,2,1,3,0.0,3.0,5.0
2223,Atalanta,24,2023-04-08,Bologna,H,L,0,2,0,1.0,-1.0,4.0
2223,Atalanta,25,2023-04-17,Fiorentina,A,D,1,1,1,0.0,1.0,5.0
2223,Atalanta,26,2023-04-24,Roma,H,W,3,1,3,0.0,3.0,8.0
2223,Atalanta,27,2023-04-29,Torino,A,W,1,2,3,3.0,0.0,8.0
2223,Atalanta,28,2023-05-03,Spezia,H,W,3,2,3,3.0,0.0,8.0
2223,Atalanta,29,2023-05-07,Juventus,H,L,0,2,0,1.0,-1.0,7.0
2223,Atalanta,30,2023-05-13,Salernitana,A,L,1,0,0,3.0,-3.0,4.0
2223,Atalanta,31,2023-05-20,Verona,H,W,3,1,3,0.0,3.0,7.0
2223,Atalanta,32,2023-05-27,Inter,A,L,3,2,0,1.0,-1.0,6.0
2223,Bologna,1,2022-08-14,Lazio,A,L,2,1,0,0.0,0.0,0.0
2223,Bologna,2,2022-08-21,Verona,H,D,1,1,1,3.0,-2.0,-2.0
2223,Bologna,3,2022-08-27,Milan,A,L,2,0,0,1.0,-1.0,-3.0
2223,Bologna,4,2022-09-01,Salernitana,H,D,1,1,1,3.0,-2.0,-5.0
2223,Bologna,5,2022-09-04,Spezia,A,D,2,2,1,3.0,-2.0,-7.0
2223,Bologna,6,2022-09-11,Fiorentina,H,W,2,1,3,0.0,3.0,-4.0
2223,Bologna,7,2022-09-17,Empoli,H,L,0,1,0,1.0,-1.0,-5.0
2223,Bologna,8,2022-10-02,Juventus,A,L,3,0,0,1.0,-1.0,-6.0
2223,Bologna,9,2022-10-08,Sampdoria,H,D,1,1,1,3.0,-2.0,-8.0
2223,Bologna,10,2022-10-16,Napoli,A,L,3,2,0,0.0,0.0,-8.0
2223,Bologna,11,2022-11-06,Torino,H,W,2,1,3,1.0,2.0,-6.0
2223,Bologna,12,2022-11-09,Inter,A,L,6,1,0,0.0,0.0,-6.0
2223,Bologna,13,2022-11-12,Sassuolo,H,W,3,0,3,0.0,3.0,-3.0
2223,Bologna,14,2023-01-04,Roma,A,L,1,0,0,1.0,-1.0,-4.0
2223,Bologna,15,2023-01-09,Atalanta,H,L,1,2,0,0.0,0.0,-4.0
2223,Bologna,16,2023-01-15,Udinese,A,W,1,2,3,1.0,2.0,-2.0
2223,Bologna,17,2023-01-27,Spezia,H,W,2,0,3,3.0,0.0,-2.0
2223,Bologna,18,2023-02-05,Fiorentina,A,W,1,2,3,0.0,3.0,1.0
2223,Bologna,19,2023-02-18,Sampdoria,A,W,1,2,3,3.0,0.0,1.0
2223,Bologna,20,2023-02-26,Inter,H,W,1,0,3,3.0,0.0,1.0
2223,Bologna,21,2023-03-06,Torino,A,L,1,0,0,0.0,0.0,1.0
2223,Bologna,22,2023-03-11,Lazio,H,D,0,0,1,3.0,-2.0,-1.0
2223,Bologna,23,2023-03-18,Salernitana,A,D,2,2,1,1.0,0.0,-1.0
2223,Bologna,24,2023-04-02,Udinese,H,W,3,0,3,1.0,2.0,1.0
2223,Bologna,25,2023-04-08,Atalanta,A,W,0,2,3,1.0,2.0,3.0
2223,Bologna,26,2023-04-15,Milan,H,D,1,1,1,0.0,1.0,4.0
2223,Bologna,27,2023-04-21,Verona,A,L,2,1,0,0.0,0.0,4.0
2223,Bologna,28,2023-04-30,Juventus,H,D,1,1,1,0.0,1.0,5.0
2223,Bologna,29,2023-05-04,Empoli,A,L,3,1,0,0.0,0.0,5.0
2223,Bologna,30,2023-05-08,Sassuolo,A,D,1,1,1,3.0,-2.0,3.0
2223,Bologna,31,2023-05-14,Roma,H,D,0,0,1,3.0,-2.0,1.0
2223,Bologna,32,2023-05-28,Napoli,H,D,2,2,1,0.0,1.0,2.0
2223,Empoli,1,2022-08-14,Spezia,A,L,1,0,0,1.0,-1.0,-1.0
2223,Empoli,2,2022-08-21,Fiorentina,H,D,0,0,1,3.0,-2.0,-3.0
2223,Empoli,3,2022-08-31,Verona,H,D,1,1,1,1.0,0.0,-3.0
2223,Empoli,4,2022-09-05,Salernitana,A,D,2,2,1,3.0,-2.0,-5.0
2223,Empoli,5,2022-09-12,Roma,H,L,1,2,0,0.0,0.0,-5.0
2223,Empoli,6,2022-09-17,Bologna,A,W,0,1,3,1.0,2.0,-3.0
2223,Empoli,7,2022-10-01,Milan,H,L,1,3,0,0.0,0.0,-3.0
2223,Empoli,8,2022-10-09,Torino,A,D,1,1,1,1.0,0.0,-3.0
2223,Empoli,9,2022-10-21,Juventus,A,L,4,0,0,3.0,-3.0,-6.0
2223,Empoli,10,2022-10-30,Atalanta,H,L,0,2,0,0.0,0.0,-6.0
2223,Empoli,11,2022-11-05,Sassuolo,H,W,1,0,3,0.0,3.0,-3.0
2223,Empoli,12,2022-11-08,Napoli,A,L,2,0,0,3.0,-3.0,-6.0
2223,Empoli,13,2023-01-04,Udinese,A,D,1,1,1,0.0,1.0,-5.0
2223,Empoli,14,2023-01-08,Lazio,A,D,2,2,1,1.0,0.0,-5.0
2223,Empoli,15,2023-01-16,Sampdoria,H,W,1,0,3,0.0,3.0,-2.0
2223,Empoli,16,2023-01-23,Inter,A,W,0,1,3,0.0,3.0,1.0
2223,Empoli,17,2023-01-28,Torino,H,D,2,2,1,0.0,1.0,2.0
2223,Empoli,18,2023-02-04,Roma,A,L,2,0,0,0.0,0.0,2.0
2223,Empoli,19,2023-02-11,Spezia,H,D,2,2,1,1.0,0.0,2.0
2223,Empoli,20,2023-02-19,Fiorentina,A,D,1,1,1,0.0,1.0,3.0
2223,Empoli,21,2023-02-25,Napoli,H,L,0,2,0,3.0,-3.0,0.0
2223,Empoli,22,2023-03-11,Udinese,H,L,0,1,0,3.0,-3.0,-3.0
2223,Empoli,23,2023-03-17,Atalanta,A,L,2,1,0,3.0,-3.0,-6.0
2223,Empoli,24,2023-04-07,Milan,A,D,0,0,1,0.0,1.0,-5.0
2223,Empoli,25,2023-04-23,Inter,H,L,0,3,0,0.0,0.0,-5.0
2223,Empoli,26,2023-04-30,Sassuolo,A,L,2,1,0,3.0,-3.0,-8.0
2223,Empoli,27,2023-05-04,Bologna,H,W,3,1,3,3.0,0.0,-8.0
2223,Empoli,28,2023-05-08,Salernitana,H,W,2,1,3,1.0,2.0,-6.0
2223,Empoli,29,2023-05-15,Sampdoria,A,D,1,1,1,0.0,1.0,-5.0
2223,Empoli,30,2023-05-22,Juventus,H,W,4,1,3,0.0,3.0,-2.0
2223,Empoli,31,2023-05-28,Verona,A,D,1,1,1,0.0,1.0,-1.0
2223,Empoli,32,2023-06-03,Lazio,H,L,0,2,0,0.0,0.0,-1.0
2223,Fiorentina,1,2022-08-21,Empoli,A,D,0,0,1,0.0,1.0,1.0
2223,Fiorentina,2,2022-08-28,Napoli,H,D,0,0,1,0.0,1.0,2.0
2223,Fiorentina,3,2022-08-31,Udinese,A,L,1,0,0,3.0,-3.0,-1.0
2223,Fiorentina,4,2022-09-03,Juventus,H,D,1,1,1,3.0,-2.0,-3.0
2223,Fiorentina,5,2022-09-11,Bologna,A,L,2,1,0,3.0,-3.0,-6.0
2223,Fiorentina,6,2022-09-18,Verona,H,W,2,0,3,1.0,2.0,-4.0
2223,Fiorentina,7,2022-10-02,Atalanta,A,L,1,0,0,3.0,-3.0,-7.0
2223,Fiorentina,8,2022-10-10,Lazio,H,L,0,4,0,0.0,0.0,-7.0
2223,Fiorentina,9,2022-10-22,Inter,H,L,3,4,0,0.0,0.0,-7.0
2223,Fiorentina,10,2022-10-30,Spezia,A,W,1,2,3,3.0,0.0,-7.0
2223,Fiorentina,11,2022-11-06,Sampdoria,A,W,0,2,3,0.0,3.0,-4.0
2223,Fiorentina,12,2022-11-09,Salernitana,H,W,2,1,3,3.0,0.0,-4.0
2223,Fiorentina,13,2022-11-13,Milan,A,L,2,1,0,0.0,0.0,-4.0
2223,Fiorentina,14,2023-01-07,Sassuolo,H,W,2,1,3,1.0,2.0,-2.0
2223,Fiorentina,15,2023-01-15,Roma,A,L,2,0,0,0.0,0.0,-2.0
2223,Fiorentina,16,2023-01-21,Torino,H,L,0,1,0,3.0,-3.0,-5.0
2223,Fiorentina,17,2023-01-29,Lazio,A,D,1,1,1,0.0,1.0,-4.0
2223,Fiorentina,18,2023-02-05,Bologna,H,L,1,2,0,3.0,-3.0,-7.0
2223,Fiorentina,19,2023-02-12,Juventus,A,L,1,0,0,0.0,0.0,-7.0
2223,Fiorentina,20,2023-02-19,Empoli,H,D,1,1,1,3.0,-2.0,-9.0
2223,Fiorentina,21,2023-02-27,Verona,A,W,0,3,3,1.0,2.0,-7.0
2223,Fiorentina,22,2023-03-04,Milan,H,W,2,1,3,3.0,0.0,-7.0
2223,Fiorentina,23,2023-04-01,Inter,A,W,0,1,3,1.0,2.0,-5.0
2223,Fiorentina,24,2023-04-08,Spezia,H,D,1,1,1,3.0,-2.0,-7.0
2223,Fiorentina,25,2023-04-17,Atalanta,H,D,1,1,1,3.0,-2.0,-9.0
2223,Fiorentina,26,2023-04-30,Sampdoria,H,W,5,0,3,3.0,0.0,-9.0
2223,Fiorentina,27,2023-05-03,Salernitana,A,D,3,3,1,0.0,1.0,-8.0
2223,Fiorentina,28,2023-05-07,Napoli,A,L,1,0,0,3.0,-3.0,-11.0
2223,Fiorentina,29,2023-05-14,Udinese,H,W,2,0,3,0.0,3.0,-8.0
2223,Fiorentina,30,2023-05-21,Torino,A,D,1,1,1,0.0,1.0,-7.0
