player,team,goals,assists,contributions,contribution_pct,goals_pct,assists_pct,games
Terem Igobor Moffi,Nice,2,0,2,11.8,11.8,0.0,8
Tom Louchet,Nice,0,2,2,11.8,0.0,11.8,10
Charles Vanhoutte,Nice,0,2,2,11.8,0.0,11.8,9
Djibril Sidibe,Toulouse,2,0,2,11.1,11.1,0.0,12
Vincent Marchetti,Paris FC,2,0,2,11.1,11.1,0.0,8
Tyler Morton,Lyon,1,1,2,11.1,5.6,5.6,11
Alexis Vossah,Toulouse,1,1,2,11.1,5.6,5.6,8
Nouha Dicko,Paris FC,1,1,2,11.1,5.6,5.6,7
Moussa Niakhate,Lyon,0,2,2,11.1,0.0,11.1,12
Santiago Hidalgo,Toulouse,0,2,2,11.1,0.0,11.1,9
Angel Gomes,Marseille,3,0,3,10.7,10.7,0.0,11
Matt O'Riley,Marseille,1,2,3,10.7,3.6,7.1,9
Bilal Nadir,Marseille,0,3,3,10.7,0.0,10.7,8
Abdelhamid Aït Boudlal,Rennes,1,1,2,10.5,5.3,5.3,5
Valentin Rongier,Rennes,0,2,2,10.5,0.0,10.5,11
Quentin Merlin,Rennes,0,2,2,10.5,0.0,10.5,11
Himad Abdelli,Angers,1,0,1,10.0,10.0,0.0,9
Ousmane Camara,Angers,1,0,1,10.0,10.0,0.0,12
Jordan Lefort,Angers,0,1,1,10.0,0.0,10.0,12
Lilian Raolisoa,Angers,0,1,1,10.0,0.0,10.0,11
Amine Sbaï,Angers,0,1,1,10.0,0.0,10.0,5
Rayan Fofana,Lens,2,0,2,9.5,9.5,0.0,11
Samson Baidoo,Lens,2,0,2,9.5,9.5,0.0,11
Mamadou Sangaré,Lens,1,1,2,9.5,4.8,4.8,11
Mayckel Lahdo,Nantes,1,0,1,9.1,9.1,0.0,4
Kelvin Adou,Nantes,0,1,1,9.1,0.0,9.1,12
Johann Lepenant,Nantes,0,1,1,9.1,0.0,9.1,6
Ethan Mbappé,Lille,2,0,2,8.7,8.7,0.0,5
Benjamin André,Lille,1,1,2,8.7,4.3,4.3,10
Aleksandr Golovin,Monaco,2,0,2,8.3,8.3,0.0,7
Achraf Hakimi,Paris Saint Germain,2,0,2,8.3,8.3,0.0,9
Guemissongui Ouattara,Strasbourg,2,0,2,8.3,8.3,0.0,12
Martial Godo,Strasbourg,2,0,2,8.3,8.3,0.0,8
Gonçalo Ramos,Paris Saint Germain,2,0,2,8.3,8.3,0.0,12
George Ilenikhena,Monaco,2,0,2,8.3,8.3,0.0,10
Fabián,Paris Saint Germain,1,1,2,8.3,4.2,4.2,7
Boubacar Traore,Metz,1,0,1,8.3,8.3,0.0,9
Désiré Doué,Paris Saint Germain,1,1,2,8.3,4.2,4.2,6
Warren Zaïre-Emery,Paris Saint Germain,1,1,2,8.3,4.2,4.2,12
Sadibou Sané,Metz,1,0,1,8.3,8.3,0.0,5
Mamadou Coulibaly,Monaco,1,1,2,8.3,4.2,4.2,9
Senny Mayulu,Paris Saint Germain,1,1,2,8.3,4.2,4.2,9
Giorgi Abuashvili,Metz,1,0,1,8.3,8.3,0.0,8
Felix Lemarechal,Strasbourg,0,2,2,8.3,0.0,8.3,9
Giorgi Tsitaishvili,Metz,0,1,1,8.3,0.0,8.3,12
Arouna Sangante,Le Havre,1,0,1,7.7,7.7,0.0,11
Younes Namli,Le Havre,0,1,1,7.7,0.0,7.7,9
Mory Diaw,Le Havre,0,1,1,7.7,0.0,7.7,12
Yanis Zouaoui,Le Havre,0,1,1,7.7,0.0,7.7,11
Godson Kyeremeh,Le Havre,0,1,1,7.7,0.0,7.7,6
Naif Aguerd,Marseille,2,0,2,7.1,7.1,0.0,8
Amir Murillo,Marseille,2,0,2,7.1,7.1,0.0,12
