player,team,goals,assists,contributions,contribution_pct,goals_pct,assists_pct,games
Lamine Sy,Auxerre,0,0,0,0.0,0.0,0.0,4
Obed Nkambadio,Paris FC,0,0,0,0.0,0.0,0.0,10
Julien Lopez,Paris FC,0,0,0,0.0,0.0,0.0,3
Tuomas Ollila,Paris FC,0,0,0,0.0,0.0,0.0,3
Jonathan Fischer,Metz,0,0,0,0.0,0.0,0.0,12
Michel Mboula,Metz,0,0,0,0.0,0.0,0.0,3
Brian Madjo,Metz,0,0,0,0.0,0.0,0.0,4
Idrissa Gueye,Metz,0,0,0,0.0,0.0,0.0,3
Alpha Touré,Metz,0,0,0,0.0,0.0,0.0,12
Pape Sy,Metz,0,0,0,0.0,0.0,0.0,1
Morgan Bokele,Metz,0,0,0,0.0,0.0,0.0,6
Mike Penders,Strasbourg,0,0,0,0.0,0.0,0.0,11
Lucas Høgsberg,Strasbourg,0,0,0,0.0,0.0,0.0,9
Tylel Tati,Nantes,0,0,0,0.0,0.0,0.0,11
Kwon Hyeok-Kyu,Nantes,0,0,0,0.0,0.0,0.0,9
Yassine Benhattab,Nantes,0,0,0,0.0,0.0,0.0,9
Amady Camara,Nantes,0,0,0,0.0,0.0,0.0,6
Otávio,Paris FC,0,0,0,0.0,0.0,0.0,10
Ismaël Guerti,Metz,0,0,0,0.0,0.0,0.0,3
Cleo Mélières,Metz,0,0,0,0.0,0.0,0.0,2
Abdoulaye Faye,Lorient,0,0,0,0.0,0.0,0.0,7
Nordan Mukiele,Rennes,0,0,0,0.0,0.0,0.0,1
Rafael Luís,Strasbourg,0,0,0,0.0,0.0,0.0,6
Julián Vignolo,Toulouse,0,0,0,0.0,0.0,0.0,1
Daouda Guindo,Brest,0,0,0,0.0,0.0,0.0,6
Noah Cadiou,Lorient,0,0,0,0.0,0.0,0.0,7
Terry Yegbe,Metz,0,0,0,0.0,0.0,0.0,10
Tiago Gouveia,Nice,0,0,0,0.0,0.0,0.0,7
Bahmed Deuff,Nantes,0,0,0,0.0,0.0,0.0,6
Calvin Verdonk,Lille,0,0,0,0.0,0.0,0.0,5
Abu Francis,Toulouse,0,0,0,0.0,0.0,0.0,8
Pathé Mboup,Brest,0,0,0,0.0,0.0,0.0,9
Ryan Rodin,Auxerre,0,0,0,0.0,0.0,0.0,1
Enzo Koffi,Le Havre,0,0,0,0.0,0.0,0.0,2
Pape Cabral,Monaco,0,0,0,0.0,0.0,0.0,4
Mathis Jangeal,Paris Saint Germain,0,0,0,0.0,0.0,0.0,1
Djibirin Harouna,Angers,0,0,0,0.0,0.0,0.0,4
Tadjidine Mmadi,Marseille,0,0,0,0.0,0.0,0.0,1
Lucas Rosier,Rennes,0,0,0,0.0,0.0,0.0,1
