player,team,goals,assists,contributions,contribution_pct,goals_pct,assists_pct,games,season
Enes Ünal,Getafe,14,3,17,50.0,41.2,8.8,35,2223
Vedat Muriqi,Mallorca,15,3,18,48.6,40.5,8.1,35,2223
Antoine Griezmann,Atletico Madrid,15,16,31,44.3,21.4,22.9,38,2223
Robert Lewandowski,Barcelona,23,7,30,42.9,32.9,10.0,34,2223
Borja Iglesias,Real Betis,15,3,18,39.1,32.6,6.5,35,2223
Iago Aspas,Celta Vigo,12,3,15,34.9,27.9,7.0,37,2223
Gabriel Veiga,Celta Vigo,11,4,15,34.9,25.6,9.3,36,2223
Joselu,Espanyol,16,2,18,34.6,30.8,3.8,34,2223
Cyle Larin,Real Valladolid,8,3,11,33.3,24.2,9.1,19,2223
Lee Kang-In,Mallorca,6,6,12,32.4,16.2,16.2,36,2223
Isi Palazón,Rayo Vallecano,9,5,14,31.1,20.0,11.1,37,2223
Lucas Boyé,Elche,7,2,9,30.0,23.3,6.7,35,2223
Alexander Sørloth,Real Sociedad,12,3,15,29.4,23.5,5.9,34,2223
Borja Mayoral,Getafe,8,2,10,29.4,23.5,5.9,35,2223
Karim Benzema,Real Madrid,19,3,22,29.3,25.3,4.0,24,2223
Iñaki Williams,Athletic Club,10,3,13,27.7,21.3,6.4,36,2223
Nicolas Jackson,Villarreal,12,4,16,27.1,20.3,6.8,26,2223
Ezequiel Ávila,Osasuna,8,2,10,27.0,21.6,5.4,29,2223
Oihan Sancet,Athletic Club,10,2,12,25.5,21.3,4.3,36,2223
Takefusa Kubo,Real Sociedad,9,4,13,25.5,17.6,7.8,35,2223
Vinícius Júnior,Real Madrid,10,9,19,25.3,13.3,12.0,33,2223
Sergio Camello,Rayo Vallecano,6,5,11,24.4,13.3,11.1,38,2223
Dani Rodríguez,Mallorca,3,6,9,24.3,8.1,16.2,35,2223
Aimar Oroz,Osasuna,3,6,9,24.3,8.1,16.2,31,2223
Brais Méndez,Real Sociedad,8,4,12,23.5,15.7,7.8,34,2223
Pere Milla,Elche,6,1,7,23.3,20.0,3.3,31,2223
Theo Bongonda,Cadiz,4,3,7,23.3,13.3,10.0,31,2223
Gerard Gumbau,Elche,1,6,7,23.3,3.3,20.0,35,2223
Martin Braithwaite,Espanyol,10,2,12,23.1,19.2,3.8,31,2223
Rodrygo,Real Madrid,9,8,17,22.7,12.0,10.7,34,2223
Valentín Castellanos,Girona,13,0,13,22.4,22.4,0.0,35,2223
Álvaro García,Rayo Vallecano,5,5,10,22.2,11.1,11.1,35,2223
Ante Budimir,Osasuna,8,0,8,21.6,21.6,0.0,31,2223
Mikel Merino,Real Sociedad,2,9,11,21.6,3.9,17.6,33,2223
Álvaro Morata,Atletico Madrid,13,2,15,21.4,18.6,2.9,36,2223
Nico Williams,Athletic Club,6,4,10,21.3,12.8,8.5,36,2223
