player,team,goals,assists,contributions,contribution_pct,goals_pct,assists_pct,games,season
Alexander Sørloth,Villarreal,23,6,29,44.6,35.4,9.2,34,2324
Ante Budimir,Osasuna,17,2,19,42.2,37.8,4.4,33,2324
Iago Aspas,Celta Vigo,9,10,19,41.3,19.6,21.7,35,2324
Borja Mayoral,Getafe,15,1,16,38.1,35.7,2.4,27,2324
Artem Dovbyk,Girona,24,8,32,37.6,28.2,9.4,36,2324
Youssef En-Nesyri,Sevilla,16,2,18,37.5,33.3,4.2,33,2324
Hugo Duro,Valencia,13,2,15,37.5,32.5,5.0,37,2324
Mason Greenwood,Getafe,8,7,15,35.7,19.0,16.7,34,2324
Jørgen Strand Larsen,Celta Vigo,13,3,16,34.8,28.3,6.5,37,2324
Robert Lewandowski,Barcelona,19,8,27,34.2,24.1,10.1,35,2324
Myrto Uzuni,Granada,11,1,12,31.6,28.9,2.6,34,2324
Antoine Griezmann,Atletico Madrid,16,6,22,31.4,22.9,8.6,33,2324
Willian José,Real Betis,10,5,15,31.2,20.8,10.4,33,2324
Gorka Guruzeta,Athletic Club,14,5,19,31.1,23.0,8.2,32,2324
Sergio Arribas,Almeria,9,4,13,30.2,20.9,9.3,34,2324
Jude Bellingham,Real Madrid,19,6,25,28.7,21.8,6.9,28,2324
Vedat Muriqi,Mallorca,7,2,9,27.3,21.2,6.1,29,2324
Isco,Real Betis,8,5,13,27.1,16.7,10.4,29,2324
Nico Williams,Athletic Club,5,11,16,26.2,8.2,18.0,31,2324
Álvaro Morata,Atletico Madrid,15,3,18,25.7,21.4,4.3,32,2324
Luis Rioja,Alaves,5,4,9,25.0,13.9,11.1,37,2324
Iñaki Williams,Athletic Club,12,3,15,24.6,19.7,4.9,34,2324
Gerard Moreno,Villarreal,10,6,16,24.6,15.4,9.2,30,2324
Álex Baena,Villarreal,2,14,16,24.6,3.1,21.5,34,2324
Kirian Rodríguez,Las Palmas,6,2,8,24.2,18.2,6.1,37,2324
Álvaro García,Rayo Vallecano,6,1,7,24.1,20.7,3.4,32,2324
Lucas Boyé,Granada,6,3,9,23.7,15.8,7.9,31,2324
Mikel Oyarzabal,Real Sociedad,9,3,12,23.5,17.6,5.9,33,2324
Chris Ramos,Cadiz,5,1,6,23.1,19.2,3.8,38,2324
Vinícius Júnior,Real Madrid,15,5,20,23.0,17.2,5.7,26,2324
Diego López,Valencia,3,6,9,22.5,7.5,15.0,36,2324
Sávio,Girona,9,10,19,22.4,10.6,11.8,37,2324
Takefusa Kubo,Real Sociedad,7,4,11,21.6,13.7,7.8,30,2324
Brais Méndez,Real Sociedad,5,6,11,21.6,9.8,11.8,32,2324
Abdón Prats,Mallorca,6,1,7,21.2,18.2,3.0,34,2324
Sergi Darder,Mallorca,2,5,7,21.2,6.1,15.2,36,2324
Bryan Zaragoza,Granada,6,2,8,21.1,15.8,5.3,21,2324
Ayoze Pérez,Real Betis,9,1,10,20.8,18.8,2.1,31,2324
Pepelu,Valencia,7,1,8,20.0,17.5,2.5,37,2324
Jon Guridi,Alaves,3,4,7,19.4,8.3,11.1,36,2324
Rubén Alcaraz,Cadiz,4,1,5,19.2,15.4,3.8,37,2324
Roger,Cadiz,2,3,5,19.2,7.7,11.5,24,2324
Raphinha,Barcelona,6,9,15,19.0,7.6,11.4,28,2324
Largie Ramazani,Almeria,3,5,8,18.6,7.0,11.6,29,2324
Alberto Moleiro,Las Palmas,3,3,6,18.2,9.1,9.1,28,2324
Dani Rodríguez,Mallorca,2,4,6,18.2,6.1,12.1,36,2324
Ilkay Gündogan,Barcelona,5,9,14,17.7,6.3,11.4,36,2324
Viktor Tsygankov,Girona,8,7,15,17.6,9.4,8.2,30,2324
Tasos Douvikas,Celta Vigo,7,1,8,17.4,15.2,2.2,32,2324
Rodrygo,Real Madrid,10,5,15,17.2,11.5,5.7,34,2324
Isi Palazón,Rayo Vallecano,4,1,5,17.2,13.8,3.4,37,2324
Isaac Romero,Sevilla,4,4,8,16.7,8.3,8.3,14,2324
Carlos Vicente,Alaves,2,4,6,16.7,5.6,11.1,18,2324
Diego Rico,Getafe,0,7,7,16.7,0.0,16.7,33,2324
Alex Berenguer,Athletic Club,7,3,10,16.4,11.5,4.9,35,2324
Brahim Diaz,Real Madrid,8,6,14,16.1,9.2,6.9,31,2324
Ángel Correa,Atletico Madrid,9,2,11,15.7,12.9,2.9,32,2324
Mikel Merino,Real Sociedad,5,3,8,15.7,9.8,5.9,32,2324
Raul García,Osasuna,6,1,7,15.6,13.3,2.2,35,2324
Jesús Areso,Osasuna,1,6,7,15.6,2.2,13.3,37,2324
Darwin Machís,Cadiz,4,0,4,15.4,15.4,0.0,21,2324
Juanmi,Cadiz,3,1,4,15.4,11.5,3.8,17,2324
Marc Cardona,Las Palmas,4,1,5,15.2,12.1,3.0,26,2324
Munir,Las Palmas,3,2,5,15.2,9.1,6.1,38,2324
Raíllo,Mallorca,3,2,5,15.2,9.1,6.1,26,2324
Cyle Larin,Mallorca,3,2,5,15.2,9.1,6.1,35,2324
Javi Muñoz,Las Palmas,2,3,5,15.2,6.1,9.1,37,2324
Oihan Sancet,Athletic Club,4,5,9,14.8,6.6,8.2,30,2324
Lucas Ocampos,Sevilla,4,3,7,14.6,8.3,6.2,35,2324
Marcos Llorente,Atletico Madrid,6,4,10,14.3,8.6,5.7,37,2324
Jaime Mata,Getafe,5,1,6,14.3,11.9,2.4,36,2324
Cristhian Stuani,Girona,9,3,12,14.1,10.6,3.5,31,2324
Leo Baptistao,Almeria,6,0,6,14.0,14.0,0.0,32,2324
Luis Suárez,Almeria,6,0,6,14.0,14.0,0.0,15,2324
Kike García,Alaves,3,2,5,13.9,8.3,5.6,33,2324
Joselu,Real Madrid,10,2,12,13.8,11.5,2.3,34,2324
Florian Lejeune,Rayo Vallecano,3,1,4,13.8,10.3,3.4,37,2324
Sergio Camello,Rayo Vallecano,3,1,4,13.8,10.3,3.4,31,2324
Samuel Lino,Atletico Madrid,4,5,9,12.9,5.7,7.1,34,2324
João Félix,Barcelona,7,3,10,12.7,8.9,3.8,30,2324
Lamine Yamal,Barcelona,5,5,10,12.7,6.3,6.3,37,2324
Dodi Lukebakio,Sevilla,5,1,6,12.5,10.4,2.1,23,2324
Javier Guerra,Valencia,4,1,5,12.5,10.0,2.5,36,2324
Fran Pérez,Valencia,1,4,5,12.5,2.5,10.0,32,2324
Daniel Parejo,Villarreal,3,5,8,12.3,4.6,7.7,33,2324
Antonio Sánchez,Mallorca,3,1,4,12.1,9.1,3.0,29,2324
Sandro Ramírez,Las Palmas,1,3,4,12.1,3.0,9.1,27,2324
Adrián Embarba,Almeria,3,2,5,11.6,7.0,4.7,36,2324
Lucas Robertone,Almeria,0,5,5,11.6,0.0,11.6,33,2324
Gonzalo Escalante,Cadiz,1,2,3,11.5,3.8,7.7,26,2324
Javi Hernández,Cadiz,1,2,3,11.5,3.8,7.7,31,2324
Ferrán Torres,Barcelona,7,2,9,11.4,8.9,2.5,29,2324
Rodrigo de Paul,Atletico Madrid,3,5,8,11.4,4.3,7.1,34,2324
Rodrigo Riquelme,Atletico Madrid,3,5,8,11.4,4.3,7.1,34,2324
Rubén García,Osasuna,3,2,5,11.1,6.7,4.4,30,2324
Carlos Benavídez,Alaves,3,1,4,11.1,8.3,2.8,29,2324
Javier López,Alaves,1,3,4,11.1,2.8,8.3,32,2324
Williot Swedberg,Celta Vigo,5,0,5,10.9,10.9,0.0,15,2324
Jonathan Bamba,Celta Vigo,3,2,5,10.9,6.5,4.3,27,2324
Luca De La Torre,Celta Vigo,1,4,5,10.9,2.2,8.7,31,2324
Manuel Sánchez,Celta Vigo,0,5,5,10.9,0.0,10.9,26,2324
Morales,Villarreal,7,0,7,10.8,10.8,0.0,29,2324
Iván Martín,Girona,5,4,9,10.6,5.9,4.7,36,2324
Aleix García,Girona,3,6,9,10.6,3.5,7.1,37,2324
Miguel Gutiérrez,Girona,2,7,9,10.6,2.4,8.2,35,2324
Yan Couto,Girona,1,8,9,10.6,1.2,9.4,34,2324
Gonzalo Villar,Granada,1,3,4,10.5,2.6,7.9,35,2324
Sergio Ruiz,Granada,0,4,4,10.5,0.0,10.5,35,2324
Pablo Fornals,Real Betis,3,2,5,10.4,6.2,4.2,15,2324
Suso,Sevilla,1,4,5,10.4,2.1,8.3,29,2324
Adrià Pedrosa,Sevilla,1,4,5,10.4,2.1,8.3,31,2324
