player,team,goals,assists,contributions,contribution_pct,goals_pct,assists_pct,games,season
Joselu,Alaves,14,4,18,58.1,45.2,12.9,37,2122
Enes Ünal,Getafe,16,1,17,51.5,48.5,3.0,37,2122
Iago Aspas,Celta Vigo,17,5,22,51.2,39.5,11.6,37,2122
Raúl de Tomás,Espanyol,17,3,20,50.0,42.5,7.5,34,2122
Karim Benzema,Real Madrid,27,12,39,48.8,33.8,15.0,32,2122
Morales,Levante,13,7,20,39.2,25.5,13.7,35,2122
Gonçalo Guedes,Valencia,11,6,17,35.4,22.9,12.5,36,2122
Jorge Molina,Granada,10,5,15,34.1,22.7,11.4,35,2122
Juanmi,Real Betis,17,4,21,33.9,27.4,6.5,33,2122
Vinícius Júnior,Real Madrid,17,10,27,33.8,21.2,12.5,35,2122
Carlos Soler,Valencia,11,5,16,33.3,22.9,10.4,32,2122
Muniain,Athletic Club,4,10,14,32.6,9.3,23.3,35,2122
Óscar Trejo,Rayo Vallecano,3,9,12,30.8,7.7,23.1,32,2122
Iñaki Williams,Athletic Club,8,5,13,30.2,18.6,11.6,38,2122
Mikel Oyarzabal,Real Sociedad,9,3,12,30.0,22.5,7.5,22,2122
Sergi Darder,Espanyol,3,9,12,30.0,7.5,22.5,36,2122
Álvaro García,Rayo Vallecano,7,4,11,28.2,17.9,10.3,36,2122
Pere Milla,Elche,8,3,11,27.5,20.0,7.5,32,2122
Fidel,Elche,5,6,11,27.5,12.5,15.0,33,2122
Luis Suárez,Granada,8,4,12,27.3,18.2,9.1,37,2122
Ante Budimir,Osasuna,8,2,10,27.0,21.6,5.4,28,2122
Ángel Correa,Atletico Madrid,12,5,17,26.2,18.5,7.7,36,2122
Álvaro Negredo,Cadiz,7,2,9,25.7,20.0,5.7,34,2122
Sergi Guardiola,Rayo Vallecano,8,2,10,25.6,20.5,5.1,32,2122
Lucas Boyé,Elche,7,3,10,25.0,17.5,7.5,24,2122
Nabil Fekir,Real Betis,6,9,15,24.2,9.7,14.5,34,2122
Santi Mina,Celta Vigo,7,3,10,23.3,16.3,7.0,33,2122
Oihan Sancet,Athletic Club,6,4,10,23.3,14.0,9.3,27,2122
Anthony Lozano,Cadiz,6,2,8,22.9,17.1,5.7,31,2122
Salva Sevilla,Mallorca,5,3,8,22.2,13.9,8.3,28,2122
Vedat Muriqi,Mallorca,5,3,8,22.2,13.9,8.3,16,2122
Jorge De Frutos,Levante,4,7,11,21.6,7.8,13.7,25,2122
Borja Mayoral,Getafe,6,1,7,21.2,18.2,3.0,18,2122
Willian José,Real Betis,9,4,13,21.0,14.5,6.5,32,2122
Sergio Canales,Real Betis,5,8,13,21.0,8.1,12.9,34,2122
Denis Suárez,Celta Vigo,4,5,9,20.9,9.3,11.6,38,2122
Brais Méndez,Celta Vigo,4,5,9,20.9,9.3,11.6,37,2122
Alex Berenguer,Athletic Club,3,6,9,20.9,7.0,14.0,34,2122
Memphis Depay,Barcelona,12,2,14,20.6,17.6,2.9,28,2122
Arnaut Danjuma Groeneveld,Villarreal,10,3,13,20.6,15.9,4.8,23,2122
Ousmane Dembélé,Barcelona,1,13,14,20.6,1.5,19.1,21,2122
Luis Suárez,Atletico Madrid,11,2,13,20.0,16.9,3.1,35,2122
Alexander Isak,Real Sociedad,6,2,8,20.0,15.0,5.0,32,2122
Roger,Levante,7,3,10,19.6,13.7,5.9,29,2122
Gerard Moreno,Villarreal,9,3,12,19.0,14.3,4.8,17,2122
Daniel Parejo,Villarreal,2,10,12,19.0,3.2,15.9,33,2122
Rafa Mir,Sevilla,10,0,10,18.9,18.9,0.0,34,2122
Lucas Ocampos,Sevilla,6,4,10,18.9,11.3,7.5,30,2122
Ezequiel Ávila,Osasuna,6,1,7,18.9,16.2,2.7,36,2122
Ivan Rakitic,Sevilla,4,6,10,18.9,7.5,11.3,35,2122
Rubén García,Osasuna,1,6,7,18.9,2.7,16.2,37,2122
Raúl García,Athletic Club,6,2,8,18.6,14.0,4.7,35,2122
João Félix,Atletico Madrid,8,4,12,18.5,12.3,6.2,24,2122
Yannick Carrasco,Atletico Madrid,6,6,12,18.5,9.2,9.2,34,2122
Gonzalo Melero,Levante,7,2,9,17.6,13.7,3.9,29,2122
Jordi Alba,Barcelona,2,10,12,17.6,2.9,14.7,30,2122
Johan Mojica,Elche,2,5,7,17.5,5.0,12.5,33,2122
Dani Rodríguez,Mallorca,3,3,6,16.7,8.3,8.3,36,2122
Pierre-Emerick Aubameyang,Barcelona,10,1,11,16.2,14.7,1.5,17,2122
Kike García,Osasuna,5,1,6,16.2,13.5,2.7,33,2122
Borja Iglesias,Real Betis,10,0,10,16.1,16.1,0.0,33,2122
Gonzalo Escalante,Alaves,5,0,5,16.1,16.1,0.0,17,2122
Víctor Laguardia,Alaves,3,2,5,16.1,9.7,6.5,34,2122
Manu Trigueros,Villarreal,6,4,10,15.9,9.5,6.3,35,2122
Antonio Puertas,Granada,6,1,7,15.9,13.6,2.3,33,2122
Yeremi Pino,Villarreal,6,4,10,15.9,9.5,6.3,31,2122
Boulaye Dia,Villarreal,5,5,10,15.9,7.9,7.9,25,2122
Luis Milla,Granada,4,3,7,15.9,9.1,6.8,34,2122
Falcao,Rayo Vallecano,6,0,6,15.4,15.4,0.0,22,2122
Matheus Cunha,Atletico Madrid,6,4,10,15.4,9.2,6.2,29,2122
Isi Palazón,Rayo Vallecano,2,4,6,15.4,5.1,10.3,34,2122
Mauro Arambarri,Getafe,0,5,5,15.2,0.0,15.2,31,2122
Tete Morente,Elche,3,3,6,15.0,7.5,7.5,32,2122
David Silva,Real Sociedad,2,4,6,15.0,5.0,10.0,25,2122
Álex Fernández,Cadiz,3,2,5,14.3,8.6,5.7,32,2122
Franco Cervi,Celta Vigo,3,3,6,14.0,7.0,7.0,33,2122
Ángel,Mallorca,3,2,5,13.9,8.3,5.6,29,2122
Pablo Maffeo,Mallorca,1,4,5,13.9,2.8,11.1,35,2122
Thomas Lemar,Atletico Madrid,4,5,9,13.8,6.2,7.7,24,2122
Darwin Machís,Granada,3,3,6,13.6,6.8,6.8,25,2122
Jon Moncayola,Osasuna,2,3,5,13.5,5.4,8.1,36,2122
Erik Lamela,Sevilla,5,2,7,13.2,9.4,3.8,20,2122
Álex Moreno,Real Betis,5,3,8,12.9,8.1,4.8,30,2122
Luis Rioja,Alaves,1,3,4,12.9,3.2,9.7,37,2122
Rubén Duarte,Alaves,0,4,4,12.9,0.0,12.9,34,2122
Alfonso,Villarreal,4,4,8,12.7,6.3,6.3,28,2122
Marco Asensio,Real Madrid,10,0,10,12.5,12.5,0.0,31,2122
Maxi Gómez,Valencia,5,1,6,12.5,10.4,2.1,29,2122
Aritz Elustondo,Real Sociedad,4,1,5,12.5,10.0,2.5,30,2122
Javi Puado,Espanyol,4,1,5,12.5,10.0,2.5,30,2122
Mikel Merino,Real Sociedad,3,2,5,12.5,7.5,5.0,34,2122
Luka Modric,Real Madrid,2,8,10,12.5,2.5,10.0,28,2122
José Gayá,Valencia,2,4,6,12.5,4.2,8.3,24,2122
