Season,Team,Match_Number,Date,Opponent,Venue,Result,FTHG,FTAG,Points_cur,Points_prev,Differential,Cumulative
2425,Alaves,1,2024-08-16,Celta,A,L,2,1,0,1.0,-1.0,-1.0
2425,Alaves,2,2024-08-25,Betis,H,D,0,0,1,1.0,0.0,-1.0
2425,Alaves,3,2024-08-28,Sociedad,A,W,1,2,3,1.0,2.0,1.0
2425,Alaves,4,2024-09-01,Las Palmas,H,W,2,0,3,0.0,3.0,4.0
2425,Alaves,5,2024-09-20,Sevilla,H,W,2,1,3,3.0,0.0,4.0
2425,Alaves,6,2024-09-24,Real Madrid,A,L,3,2,0,0.0,0.0,4.0
2425,Alaves,7,2024-09-28,Getafe,A,L,2,0,0,0.0,0.0,4.0
2425,Alaves,8,2024-10-06,Barcelona,H,L,0,3,0,0.0,0.0,4.0
2425,Alaves,9,2024-10-26,Vallecano,A,L,1,0,0,0.0,0.0,4.0
2425,Alaves,10,2024-11-01,Mallorca,H,W,1,0,3,1.0,2.0,6.0
2425,Alaves,11,2024-11-09,Villarreal,A,L,3,0,0,1.0,-1.0,5.0
2425,Alaves,12,2024-11-23,Ath Madrid,A,L,2,1,0,0.0,0.0,5.0
2425,Alaves,13,2024-12-08,Osasuna,A,D,2,2,1,0.0,1.0,6.0
2425,Alaves,14,2024-12-15,Ath Bilbao,H,D,1,1,1,0.0,1.0,7.0
2425,Alaves,15,2024-12-22,Valencia,A,D,2,2,1,3.0,-2.0,5.0
2425,Alaves,16,2025-01-11,Girona,H,L,0,1,0,1.0,-1.0,4.0
2425,Alaves,17,2025-01-18,Betis,A,W,1,3,3,1.0,2.0,6.0
2425,Alaves,18,2025-01-27,Celta,H,D,1,1,1,3.0,-2.0,4.0
2425,Alaves,19,2025-02-02,Barcelona,A,L,1,0,0,0.0,0.0,4.0
2425,Alaves,20,2025-02-09,Getafe,H,L,0,1,0,3.0,-3.0,1.0
2425,Alaves,21,2025-03-02,Mallorca,A,D,1,1,1,1.0,0.0,1.0
2425,Alaves,22,2025-03-08,Villarreal,H,W,1,0,3,1.0,2.0,3.0
2425,Alaves,23,2025-03-14,Las Palmas,A,D,2,2,1,1.0,0.0,3.0
2425,Alaves,24,2025-03-29,Vallecano,H,L,0,2,0,3.0,-3.0,0.0
2425,Alaves,25,2025-04-05,Girona,A,W,0,1,3,0.0,3.0,3.0
2425,Alaves,26,2025-04-13,Real Madrid,H,L,0,1,0,0.0,0.0,3.0
2425,Alaves,27,2025-04-20,Sevilla,A,D,1,1,1,3.0,-2.0,1.0
2425,Alaves,28,2025-04-23,Sociedad,H,W,1,0,3,0.0,3.0,4.0
2425,Alaves,29,2025-05-03,Ath Madrid,H,D,0,0,1,3.0,-2.0,2.0
2425,Alaves,30,2025-05-11,Ath Bilbao,A,L,1,0,0,0.0,0.0,2.0
2425,Alaves,31,2025-05-14,Valencia,H,W,1,0,3,3.0,0.0,2.0
2425,Alaves,32,2025-05-24,Osasuna,H,D,1,1,1,0.0,1.0,3.0
2425,Ath Bilbao,1,2024-08-15,Getafe,H,D,1,1,1,1.0,0.0,0.0
2425,Ath Bilbao,2,2024-08-24,Barcelona,A,L,2,1,0,0.0,0.0,0.0
2425,Ath Bilbao,3,2024-08-28,Valencia,H,W,1,0,3,1.0,2.0,2.0
2425,Ath Bilbao,4,2024-08-31,Ath Madrid,H,L,0,1,0,3.0,-3.0,-1.0
2425,Ath Bilbao,5,2024-09-15,Las Palmas,A,W,2,3,3,3.0,0.0,-1.0
2425,Ath Bilbao,6,2024-09-22,Celta,H,W,3,1,3,3.0,0.0,-1.0
2425,Ath Bilbao,7,2024-09-29,Sevilla,H,D,1,1,1,3.0,-2.0,-3.0
2425,Ath Bilbao,8,2024-10-06,Girona,A,L,2,1,0,1.0,-1.0,-4.0
2425,Ath Bilbao,9,2024-10-28,Mallorca,A,D,0,0,1,1.0,0.0,-4.0
2425,Ath Bilbao,10,2024-11-03,Betis,H,D,1,1,1,3.0,-2.0,-6.0
2425,Ath Bilbao,11,2024-11-24,Sociedad,H,W,1,0,3,3.0,0.0,-6.0
2425,Ath Bilbao,12,2024-12-01,Vallecano,A,W,1,2,3,3.0,0.0,-6.0
2425,Ath Bilbao,13,2024-12-04,Real Madrid,H,W,2,1,3,0.0,3.0,-3.0
2425,Ath Bilbao,14,2024-12-08,Villarreal,H,W,2,0,3,1.0,2.0,-1.0
2425,Ath Bilbao,15,2024-12-15,Alaves,A,D,1,1,1,3.0,-2.0,-3.0
