Rank,Team,Elo,Matches
1,Real Madrid,1805.18,202
2,Barcelona,1793.41,202
3,Ath Madrid,1720.89,202
4,Villarreal,1681.21,202
5,Ath Bilbao,1598.29,202
6,Betis,1596.52,202
7,Vallecano,1514.78,164
8,Celta,1511.54,202
9,Osasuna,1498.75,202
10,Valencia,1492.48,202
11,Sociedad,1491.5,202
12,Espanol,1484.96,126
13,Sevilla,1479.62,202
14,Getafe,1474.04,202
15,Alaves,1471.31,164
16,Mallorca,1469.79,164
17,Girona,1434.05,126
18,Levante,1428.7,88
19,Elche,1416.71,126
20,Oviedo,1396.18,12
