player,team,goals,assists,contributions,contribution_pct,goals_pct,assists_pct,games,season
Ante Budimir,Osasuna,21,4,25,52.1,43.8,8.3,38,2425
Kylian Mbappe-Lottin,Real Madrid,31,3,34,43.6,39.7,3.8,34,2425
Javi Puado,Espanyol,12,4,16,40.0,30.0,10.0,35,2425
Raba,Leganes,8,6,14,35.9,20.5,15.4,29,2425
Raul Moro,Real Valladolid,4,5,9,34.6,15.4,19.2,33,2425
Mikel Oyarzabal,Real Sociedad,9,3,12,34.3,25.7,8.6,35,2425
Kike García,Alaves,13,0,13,34.2,34.2,0.0,35,2425
Fabio Silva,Las Palmas,10,3,13,32.5,25.0,7.5,24,2425
Alexander Sørloth,Atletico Madrid,20,2,22,32.4,29.4,2.9,35,2425
Dani Rodríguez,Mallorca,4,7,11,31.4,11.4,20.0,37,2425
Dodi Lukebakio,Sevilla,11,2,13,31.0,26.2,4.8,38,2425
Julián Álvarez,Atletico Madrid,17,4,21,30.9,25.0,5.9,37,2425
Sandro Ramírez,Las Palmas,9,3,12,30.0,22.5,7.5,31,2425
Isco,Real Betis,9,8,17,29.8,15.8,14.0,22,2425
Ayoze Pérez,Villarreal,19,2,21,29.6,26.8,2.8,30,2425
Oihan Sancet,Athletic Club,15,1,16,29.6,27.8,1.9,29,2425
Cristhian Stuani,Girona,11,2,13,29.5,25.0,4.5,32,2425
Hugo Duro,Valencia,11,2,13,29.5,25.0,4.5,31,2425
Diego López,Valencia,8,5,13,29.5,18.2,11.4,38,2425
Mauro Arambarri,Getafe,10,0,10,29.4,29.4,0.0,35,2425
Christantus Uche,Getafe,4,6,10,29.4,11.8,17.6,33,2425
Robert Lewandowski,Barcelona,27,2,29,28.4,26.5,2.0,34,2425
Raphinha,Barcelona,18,10,28,27.5,17.6,9.8,36,2425
Carlos Vicente,Alaves,5,5,10,26.3,13.2,13.2,37,2425
Iñaki Williams,Athletic Club,6,8,14,25.9,11.1,14.8,35,2425
Vedat Muriqi,Mallorca,7,2,9,25.7,20.0,5.7,29,2425
Cyle Larin,Mallorca,7,2,9,25.7,20.0,5.7,32,2425
Iago Aspas,Celta Vigo,10,5,15,25.4,16.9,8.5,30,2425
Vinícius Júnior,Real Madrid,11,8,19,24.4,14.1,10.3,30,2425
Alex Berenguer,Athletic Club,6,7,13,24.1,11.1,13.0,36,2425
