player,team,goals,assists,contributions,contribution_pct,goals_pct,assists_pct,games
Reece James,Chelsea,1,2,3,14.3,4.8,9.5,11
Enzo Le Fée,Sunderland,1,1,2,14.3,7.1,7.1,10
Hee-Chan Hwang,Wolverhampton Wanderers,1,0,1,14.3,14.3,0.0,8
Omar Alderete,Sunderland,1,1,2,14.3,7.1,7.1,8
Brian Brobbey,Sunderland,1,1,2,14.3,7.1,7.1,6
Alejandro Garnacho,Chelsea,1,2,3,14.3,4.8,9.5,6
Santiago Bueno,Wolverhampton Wanderers,1,0,1,14.3,14.3,0.0,8
Jørgen Strand Larsen,Wolverhampton Wanderers,1,0,1,14.3,14.3,0.0,9
Rodrigo Gomes,Wolverhampton Wanderers,1,0,1,14.3,14.3,0.0,6
Chemsdine Talbi,Sunderland,1,1,2,14.3,7.1,7.1,11
Fernando López,Wolverhampton Wanderers,0,1,1,14.3,0.0,14.3,5
David Møller Wolfe,Wolverhampton Wanderers,0,1,1,14.3,0.0,14.3,5
Mathis Cherki,Manchester City,1,2,3,13.0,4.3,8.7,6
Nico O'Reilly,Manchester City,1,2,3,13.0,4.3,8.7,10
Tijjani Reijnders,Manchester City,1,2,3,13.0,4.3,8.7,10
Mathias Jensen,Brentford,2,0,2,11.8,11.8,0.0,9
Dango Ouattara,Brentford,2,0,2,11.8,11.8,0.0,10
Diego Gómez,Brighton,2,0,2,11.8,11.8,0.0,10
James Milner,Brighton,1,1,2,11.8,5.9,5.9,7
Tyler Adams,Bournemouth,1,1,2,11.8,5.9,5.9,11
Mikkel Damsgaard,Brentford,1,1,2,11.8,5.9,5.9,9
Kaoru Mitoma,Brighton,1,1,2,11.8,5.9,5.9,6
Brajan Gruda,Brighton,1,1,2,11.8,5.9,5.9,7
Jordan Henderson,Brentford,0,2,2,11.8,0.0,11.8,11
Georginio Rutter,Brighton,0,2,2,11.8,0.0,11.8,10
Marcos Senesi,Bournemouth,0,2,2,11.8,0.0,11.8,11
Mats Wieffer,Brighton,0,2,2,11.8,0.0,11.8,9
Dominik Szoboszlai,Liverpool,1,1,2,11.1,5.6,5.6,11
Alexis Mac Allister,Liverpool,0,2,2,11.1,0.0,11.1,10
Mathys Tel,Tottenham,2,0,2,10.5,10.5,0.0,8
Brennan Johnson,Tottenham,2,0,2,10.5,10.5,0.0,11
Harry Maguire,Manchester United,1,1,2,10.5,5.3,5.3,8
Rodrigo Bentancur,Tottenham,1,1,2,10.5,5.3,5.3,10
Lucas Bergvall,Tottenham,1,1,2,10.5,5.3,5.3,9
Mikel Merino,Arsenal,1,1,2,10.0,5.0,5.0,10
Dominic Calvert-Lewin,Leeds,1,0,1,10.0,10.0,0.0,9
Ibrahim Sangare,Nottingham Forest,1,0,1,10.0,10.0,0.0,8
Callum Hudson-Odoi,Nottingham Forest,1,0,1,10.0,10.0,0.0,10
Neco Williams,Nottingham Forest,1,0,1,10.0,10.0,0.0,11
Nicolò Savona,Nottingham Forest,1,0,1,10.0,10.0,0.0,6
Omari Hutchinson,Nottingham Forest,0,1,1,10.0,0.0,10.0,6
Ryan Yates,Nottingham Forest,0,1,1,10.0,0.0,10.0,7
Trevoh Chalobah,Chelsea,2,0,2,9.5,9.5,0.0,10
Malo Gusto,Chelsea,1,1,2,9.5,4.8,4.8,9
Estêvão,Chelsea,1,1,2,9.5,4.8,4.8,10
Marc Cucurella,Chelsea,0,2,2,9.5,0.0,9.5,11
Harvey Barnes,Newcastle United,1,0,1,9.1,9.1,0.0,11
William Osula,Newcastle United,1,0,1,9.1,9.1,0.0,10
Dan Burn,Newcastle United,0,1,1,9.1,0.0,9.1,11
Sandro Tonali,Newcastle United,0,1,1,9.1,0.0,9.1,11
Valentino Livramento,Newcastle United,0,1,1,9.1,0.0,9.1,6
Lewis Miley,Newcastle United,0,1,1,9.1,0.0,9.1,8
Phil Foden,Manchester City,1,1,2,8.7,4.3,4.3,9
Matheus Nunes,Manchester City,1,1,2,8.7,4.3,4.3,9
Bernardo Silva,Manchester City,0,2,2,8.7,0.0,8.7,11
Emile Smith-Rowe,Fulham,1,0,1,8.3,8.3,0.0,11
Beto,Everton,1,0,1,8.3,8.3,0.0,11
Samuel Chukwueze,Fulham,0,1,1,8.3,0.0,8.3,4
Tim Iroegbunam,Everton,0,1,1,8.3,0.0,8.3,8
Ross Barkley,Aston Villa,1,0,1,7.7,7.7,0.0,5
Kyle Walker-Peters,West Ham,1,0,1,7.7,7.7,0.0,10
John McGinn,Aston Villa,1,0,1,7.7,7.7,0.0,11
Ollie Watkins,Aston Villa,1,0,1,7.7,7.7,0.0,11
Amadou Onana,Aston Villa,1,0,1,7.7,7.7,0.0,7
Youri Tielemans,Aston Villa,0,1,1,7.7,0.0,7.7,5
Crysencio Summerville,West Ham,0,1,1,7.7,0.0,7.7,9
Eddie Nketiah,Crystal Palace,1,0,1,7.1,7.1,0.0,5
Tyrick Mitchell,Crystal Palace,1,0,1,7.1,7.1,0.0,11
Loum Tchaouna,Burnley,1,0,1,7.1,7.1,0.0,10
