player,team,goals,assists,contributions,contribution_pct,goals_pct,assists_pct,games,season
Mohamed Salah,Liverpool,29,18,47,54.7,33.7,20.9,38,2425
Jarrod Bowen,West Ham,13,8,21,45.7,28.3,17.4,34,2425
Alexander Isak,Newcastle United,23,6,29,42.6,33.8,8.8,34,2425
Ollie Watkins,Aston Villa,16,8,24,41.4,27.6,13.8,38,2425
Bryan Mbeumo,Brentford,20,7,27,40.9,30.3,10.6,38,2425
Bruno Fernandes,Manchester United,8,10,18,40.9,18.2,22.7,36,2425
Chris Wood,Nottingham Forest,20,3,23,39.7,34.5,5.2,36,2425
Jamie Vardy,Leicester,9,4,13,39.4,27.3,12.1,35,2425
Matheus Cunha,Wolverhampton Wanderers,15,6,21,38.9,27.8,11.1,33,2425
Liam Delap,Ipswich,12,2,14,38.9,33.3,5.6,37,2425
Cole Palmer,Chelsea,15,8,23,35.9,23.4,12.5,37,2425
Erling Haaland,Manchester City,22,3,25,34.7,30.6,4.2,31,2425
Yoane Wissa,Brentford,18,4,22,33.3,27.3,6.1,35,2425
Jørgen Strand Larsen,Wolverhampton Wanderers,14,4,18,33.3,25.9,7.4,35,2425
Amad Diallo Traore,Manchester United,8,6,14,31.8,18.2,13.6,26,2425
Jean-Philippe Mateta,Crystal Palace,14,2,16,31.4,27.5,3.9,37,2425
Eberechi Eze,Crystal Palace,8,8,16,31.4,15.7,15.7,34,2425
Justin Kluivert,Bournemouth,12,6,18,31.0,20.7,10.3,34,2425
Morgan Rogers,Aston Villa,8,10,18,31.0,13.8,17.2,37,2425
Anthony Elanga,Nottingham Forest,6,11,17,29.3,10.3,19.0,38,2425
Jacob Murphy,Newcastle United,8,11,19,27.9,11.8,16.2,35,2425
Raúl Jiménez,Fulham,12,3,15,27.8,22.2,5.6,38,2425
Alex Iwobi,Fulham,9,6,15,27.8,16.7,11.1,38,2425
Antoine Semenyo,Bournemouth,11,5,16,27.6,19.0,8.6,37,2425
Ismaila Sarr,Crystal Palace,8,6,14,27.5,15.7,11.8,38,2425
Morgan Gibbs-White,Nottingham Forest,7,8,15,25.9,12.1,13.8,34,2425
James Maddison,Tottenham,9,7,16,25.0,14.1,10.9,31,2425
Son Heung-Min,Tottenham,7,9,16,25.0,10.9,14.1,30,2425
João Pedro,Brighton,10,6,16,24.2,15.2,9.1,27,2425
Dwight McNeil,Everton,4,6,10,23.8,9.5,14.3,21,2425
Nicolas Jackson,Chelsea,10,5,15,23.4,15.6,7.8,30,2425
Bukayo Saka,Arsenal,6,10,16,23.2,8.7,14.5,25,2425
Mateus Fernandes,Southampton,2,4,6,23.1,7.7,15.4,36,2425
Brennan Johnson,Tottenham,11,3,14,21.9,17.2,4.7,33,2425
Tomas Soucek,West Ham,9,1,10,21.7,19.6,2.2,35,2425
Leandro Trossard,Arsenal,8,7,15,21.7,11.6,10.1,38,2425
Iliman Ndiaye,Everton,9,0,9,21.4,21.4,0.0,33,2425
Danny Welbeck,Brighton,10,4,14,21.2,15.2,6.1,30,2425
Kaoru Mitoma,Brighton,10,4,14,21.2,15.2,6.1,36,2425
Facundo Buonanotte,Leicester,5,2,7,21.2,15.2,6.1,31,2425
Luis Díaz,Liverpool,13,5,18,20.9,15.1,5.8,36,2425
Rayan Ait Nouri,Wolverhampton Wanderers,4,7,11,20.4,7.4,13.0,37,2425
Enzo Fernández,Chelsea,6,7,13,20.3,9.4,10.9,36,2425
Kevin Schade,Brentford,11,2,13,19.7,16.7,3.0,38,2425
Paul Onuachu,Southampton,4,1,5,19.2,15.4,3.8,25,2425
Harvey Barnes,Newcastle United,9,4,13,19.1,13.2,5.9,33,2425
Evanilson,Bournemouth,10,1,11,19.0,17.2,1.7,31,2425
Beto,Everton,8,0,8,19.0,19.0,0.0,30,2425
Dango Ouattara,Bournemouth,7,4,11,19.0,12.1,6.9,32,2425
Dominic Solanke,Tottenham,9,3,12,18.8,14.1,4.7,27,2425
Antonee Robinson,Fulham,0,10,10,18.5,0.0,18.5,36,2425
Alejandro Garnacho,Manchester United,6,2,8,18.2,13.6,4.5,36,2425
Daniel Muñoz,Crystal Palace,4,5,9,17.6,7.8,9.8,37,2425
Kai Havertz,Arsenal,9,3,12,17.4,13.0,4.3,23,2425
