player,team,goals,assists,contributions,contribution_pct,goals_pct,assists_pct,games,season
Harry Kane,Tottenham,30,3,33,47.1,42.9,4.3,38,2223
Erling Haaland,Manchester City,36,8,44,46.8,38.3,8.5,35,2223
Ivan Toney,Brentford,20,4,24,41.4,34.5,6.9,33,2223
Mohamed Salah,Liverpool,19,12,31,41.3,25.3,16.0,38,2223
Ollie Watkins,Aston Villa,15,6,21,41.2,29.4,11.8,37,2223
Marcus Rashford,Manchester United,17,5,22,37.9,29.3,8.6,35,2223
James Maddison,Leicester,10,9,19,37.3,19.6,17.6,30,2223
James Ward-Prowse,Southampton,9,4,13,36.1,25.0,11.1,38,2223
Dominic Solanke,Bournemouth,6,7,13,35.1,16.2,18.9,33,2223
Eberechi Eze,Crystal Palace,10,4,14,35.0,25.0,10.0,38,2223
Callum Wilson,Newcastle United,18,5,23,33.8,26.5,7.4,31,2223
Michael Olise,Crystal Palace,2,11,13,32.5,5.0,27.5,37,2223
Dwight McNeil,Everton,7,3,10,29.4,20.6,8.8,36,2223
Bryan Mbeumo,Brentford,9,8,17,29.3,15.5,13.8,38,2223
Rodrigo,Leeds,13,1,14,29.2,27.1,2.1,31,2223
Taiwo Awoniyi,Nottingham Forest,10,1,11,28.9,26.3,2.6,27,2223
Brennan Johnson,Nottingham Forest,8,3,11,28.9,21.1,7.9,38,2223
Bukayo Saka,Arsenal,14,11,25,28.4,15.9,12.5,38,2223
Bruno Fernandes,Manchester United,8,8,16,27.6,13.8,13.8,37,2223
Harvey Barnes,Leicester,13,1,14,27.5,25.5,2.0,34,2223
Aleksandar Mitrovic,Fulham,14,1,15,27.3,25.5,1.8,24,2223
Alex Iwobi,Everton,2,7,9,26.5,5.9,20.6,38,2223
Jarrod Bowen,West Ham,6,5,11,26.2,14.3,11.9,38,2223
Jacob Ramsey,Aston Villa,6,7,13,25.5,11.8,13.7,35,2223
Martin Odegaard,Arsenal,15,7,22,25.0,17.0,8.0,37,2223
Jack Harrison,Leeds,5,7,12,25.0,10.4,14.6,36,2223
Kevin De Bruyne,Manchester City,7,16,23,24.5,7.4,17.0,32,2223
Marcus Tavernier,Bournemouth,5,4,9,24.3,13.5,10.8,23,2223
Raheem Sterling,Chelsea,6,3,9,23.7,15.8,7.9,28,2223
Pascal Groß,Brighton,9,8,17,23.6,12.5,11.1,37,2223
Douglas Luiz,Aston Villa,6,6,12,23.5,11.8,11.8,37,2223
Son Heung-Min,Tottenham,10,6,16,22.9,14.3,8.6,36,2223
Gabriel Martinelli,Arsenal,15,5,20,22.7,17.0,5.7,36,2223
Rúben Neves,Wolverhampton Wanderers,6,1,7,22.6,19.4,3.2,35,2223
