Season,Team,Match_Number,Date,Opponent,Venue,Result,FTHG,FTAG,Points_cur,Points_prev,Differential,Cumulative
2324,Arsenal,1,2023-08-12,Nott'm Forest,H,W,2,1,3,3.0,0.0,0.0
2324,Arsenal,2,2023-08-21,Crystal Palace,A,W,0,1,3,3.0,0.0,0.0
2324,Arsenal,3,2023-08-26,Fulham,H,D,2,2,1,3.0,-2.0,-2.0
2324,Arsenal,4,2023-09-03,Man United,H,W,3,1,3,3.0,0.0,-2.0
2324,Arsenal,5,2023-09-17,Everton,A,W,0,1,3,0.0,3.0,1.0
2324,Arsenal,6,2023-09-24,Tottenham,H,D,2,2,1,3.0,-2.0,-1.0
2324,Arsenal,7,2023-09-30,Bournemouth,A,W,0,4,3,3.0,0.0,-1.0
2324,Arsenal,8,2023-10-08,Man City,H,W,1,0,3,0.0,3.0,2.0
2324,Arsenal,9,2023-10-21,Chelsea,A,D,2,2,1,3.0,-2.0,0.0
2324,Arsenal,10,2023-11-04,Newcastle,A,L,1,0,0,3.0,-3.0,-3.0
2324,Arsenal,11,2023-11-25,Brentford,A,W,0,1,3,3.0,0.0,-3.0
2324,Arsenal,12,2023-12-02,Wolves,H,W,2,1,3,3.0,0.0,-3.0
2324,Arsenal,13,2023-12-09,Aston Villa,A,L,1,0,0,3.0,-3.0,-6.0
2324,Arsenal,14,2023-12-17,Brighton,H,W,2,0,3,0.0,3.0,-3.0
2324,Arsenal,15,2023-12-23,Liverpool,A,D,1,1,1,1.0,0.0,-3.0
2324,Arsenal,16,2023-12-28,West Ham,H,L,0,2,0,3.0,-3.0,-6.0
2324,Arsenal,17,2023-12-31,Fulham,A,L,2,1,0,3.0,-3.0,-9.0
2324,Arsenal,18,2024-01-20,Crystal Palace,H,W,5,0,3,3.0,0.0,-9.0
2324,Arsenal,19,2024-01-30,Nott'm Forest,A,W,1,2,3,0.0,3.0,-6.0
2324,Arsenal,20,2024-02-04,Liverpool,H,W,3,1,3,3.0,0.0,-6.0
2324,Arsenal,21,2024-02-11,West Ham,A,W,0,6,3,1.0,2.0,-4.0
2324,Arsenal,22,2024-02-24,Newcastle,H,W,4,1,3,1.0,2.0,-2.0
2324,Arsenal,23,2024-03-09,Brentford,H,W,2,1,3,1.0,2.0,0.0
2324,Arsenal,24,2024-03-31,Man City,A,D,0,0,1,0.0,1.0,1.0
2324,Arsenal,25,2024-04-06,Brighton,A,W,0,3,3,3.0,0.0,1.0
2324,Arsenal,26,2024-04-14,Aston Villa,H,L,0,2,0,3.0,-3.0,-2.0
2324,Arsenal,27,2024-04-20,Wolves,A,W,0,2,3,3.0,0.0,-2.0
2324,Arsenal,28,2024-04-23,Chelsea,H,W,5,0,3,3.0,0.0,-2.0
2324,Arsenal,29,2024-04-28,Tottenham,A,W,2,3,3,3.0,0.0,-2.0
2324,Arsenal,30,2024-05-04,Bournemouth,H,W,3,0,3,3.0,0.0,-2.0
